META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-23 16:23:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 12:24:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 16:24:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 20:25:10 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 00:23:48 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 04:23:54 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 08:23:56 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 12:25:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 16:24:19 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-25 20:24:37 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/50; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 00:23:03 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 13/10; ; 27/20; ; 13/10; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/20; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; ; 15/8; ; 15/8; ; 19/10; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; 47/20; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 04:23:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 13/10; ; 27/20; ; 13/10; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/20; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; 15/8; 15/8; ; 15/8; ; 19/10; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; 47/20; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 08:22:55 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 13/10; ; 27/20; ; 13/10; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/20; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; 15/8; 15/8; ; 15/8; ; 19/10; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; 47/20; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 12:24:48 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 13/10; ; 27/20; ; 13/10; ; ; ; ; ; ; ; ; ; ; 23/17; ; ; 1/20; ; 
Maidstone; 19/10; ; ; 15/8; 19/10; ; 19/10; 15/8; 15/8; ; 15/8; ; 19/10; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; 47/20; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 16:24:11 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; 13/10; 27/20; 13/10; 7/5; 5/4; 11/8; 13/10; 13/10; ; 27/20; 13/10; 13/10; ; ; ; ; ; 13/10; ; ; ; ; 23/17; ; ; 1; ; 
Maidstone; 19/10; 9/5; 37/20; 15/8; 19/10; 17/10; 19/10; 15/8; 15/8; ; 15/8; 7/4; 19/10; ; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 7/5; ; 
Draw; 23/10; 9/4; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 12/5; ; 11/5; 23/10; 47/20; ; ; ; ; ; 11/5; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-26 20:24:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 13/10; 7/5; 13/10; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 7/5; 13/10; ; ; ; ; ; ; 13/10; ; ; ; ; 23/17; ; ; 2/15; ; 
Maidstone; 15/8; 9/5; 9/5; 9/5; 15/8; 17/10; 19/10; 15/8; 9/5; 9/5; 9/5; 7/4; ; ; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 2/15; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; ; ; ; ; ; ; 11/5; ; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 00:23:07 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; ; 7/5; ; ; ; 13/10; ; ; ; ; 23/17; ; ; 13/10; ; 
Maidstone; 15/8; 9/5; 9/5; 17/10; 15/8; 17/10; 9/5; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; ; 7/4; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; ; 12/5; ; ; ; 11/5; ; ; ; ; 23/10; ; ; 11/5; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 04:23:25 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 7/5; ; ; ; 13/10; ; ; ; ; 23/17; ; ; 13/10; ; 
Maidstone; 15/8; 9/5; 9/5; 17/10; 15/8; 17/10; 9/5; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; ; 7/4; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; ; 12/5; ; ; ; 11/5; ; ; ; ; 23/10; ; ; 9/4; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 08:23:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 7/5; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 27/20; ; 
Maidstone; 15/8; 9/5; 9/5; 17/10; 15/8; 17/10; 9/5; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; ; 7/4; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; ; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 12:24:52 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 13/10; ; 
Maidstone; 15/8; 9/5; 9/5; 17/10; 9/5; 17/10; 9/5; 15/8; 9/5; 15/8; 7/4; 7/4; 9/5; ; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 7/4; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; ; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 16:24:17 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 11/8; 7/5; ; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 27/20; ; 
Maidstone; 15/8; 9/5; 9/5; 17/10; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 7/4; 9/5; 9/5; ; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 11/5; 23/10; ; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-27 20:24:41 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 29/20; 11/8; 7/5; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 00:23:39 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 29/20; 11/8; 7/5; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 04:23:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 5/4; 29/20; 13/10; 7/5; 7/5; 29/20; 11/8; 7/5; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 08:23:30 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 27/20; 29/20; 13/10; 7/5; 7/5; 29/20; 11/8; 7/5; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 12:25:18 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 27/20; 29/20; 13/10; 7/5; 7/5; 29/20; 11/8; ; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 15/8; 9/5; ; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; ; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 5/2; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 16:23:04 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 7/5; 7/5; 11/8; 29/20; 27/20; 29/20; 13/10; 7/5; 7/5; 29/20; 7/5; ; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 27/20; ; 
Maidstone; 15/8; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 15/8; 9/5; 15/8; 19/10; 19/10; ; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 17/10; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-28 20:25:49 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 11/8; 11/8; 11/8; 29/20; 27/20; 7/5; 13/10; 7/5; 7/5; 29/20; 7/5; ; 29/20; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 7/5; ; 
Maidstone; 15/8; 15/8; 37/20; 7/4; 15/8; 17/10; 15/8; 15/8; 9/5; 15/8; 19/10; 19/10; ; 15/8; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 9/5; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-29 00:23:10 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 11/8; 11/8; 11/8; 29/20; 27/20; 7/5; 13/10; 7/5; 7/5; 29/20; 7/5; ; 7/5; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 7/5; 27/20; 
Maidstone; 15/8; 15/8; 37/20; 7/4; 15/8; 17/10; 15/8; 15/8; 9/5; 15/8; 19/10; 19/10; ; 19/10; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 15/8; 9/5; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; 11/5; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-29 04:22:38 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 11/8; 11/8; 11/8; 29/20; 27/20; 7/5; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 7/5; 27/20; 
Maidstone; 15/8; 15/8; 37/20; 7/4; 15/8; 17/10; 15/8; 15/8; 9/5; 15/8; 19/10; 19/10; 9/5; 19/10; 7/4; ; ; ; 7/4; ; ; ; ; 7/4; ; ; 15/8; 9/5; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; 11/5; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-29 08:22:19 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 7/5; 11/8; 11/8; 11/8; 29/20; 27/20; 7/5; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 7/5; 7/5; 
Maidstone; 15/8; 15/8; 37/20; 7/4; 15/8; 17/10; 15/8; 15/8; 9/5; 15/8; 19/10; 19/10; 9/5; 19/10; 7/4; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 15/8; 15/8; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 2; 12/5; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; 23/10; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-29 12:22:59 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 6/5; 13/10; 5/4; 5/4; 7/5; 27/20; 7/5; 13/10; 13/10; 13/10; 7/5; 7/5; 7/5; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 11/8; 27/20; 
Maidstone; 11/5; 19/10; 2; 9/5; 19/10; 17/10; 15/8; 15/8; 2; 2; 19/10; 19/10; 9/5; 21/10; 2; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 9/4; 11/5; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 23/10; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; 23/10; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-29 16:23:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 6/5; 13/10; 5/4; 5/4; 7/5; 27/20; 13/10; 13/10; 13/10; 7/5; 27/20; 7/5; 7/5; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; 7/5; ; ; 7/5; 27/20; 
Maidstone; 11/5; 19/10; 2; 9/5; 2; 17/10; 2; 15/8; 2; 19/10; 21/10; 19/10; 9/5; 2; 2; ; ; ; 7/4; ; ; ; ; 9/5; ; ; 19/10; 19/10; 
Draw; 23/10; 23/10; 9/4; 11/5; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 23/10; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 23/10; 23/10; 
