META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-02 12:20:38 GMT+3; ; e70300-dr003
Chris Wood; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; ; 2/5; 2/5; ; 4/11; ; ; 4/11; ; 2/5; ; 2/5; 2/5; ; ; ; 
Guiseley; 7/2; 18/5; 17/5; ; 18/5; ; 19/5; 7/2; 7/2; ; 17/5; 7/2; 7/2; 10/3; ; 7/2; 17/5; 31/10; 10/3; 17/5; 15/4; ; 17/5; ; 17/5; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-05 16:22:54 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 8/11; 7/10; 7/10; ; 8/11; ; 7/10; 4/6; 8/11; ; 7/10; 7/10; 7/10; 4/6; ; 7/10; 9/13; 7/10; 4/6; 9/13; 77/100; ; 7/10; ; 7/10; ; ; ; 
Draw; 14/5; 14/5; 13/5; ; 14/5; ; 14/5; 11/4; 14/5; ; 13/5; 12/5; 11/4; 13/5; ; 14/5; 27/10; 13/5; 27/10; 27/10; 3; ; 27/10; ; 27/10; ; ; ; 
Guiseley; 7/2; 18/5; 7/2; ; 18/5; ; 15/4; 7/2; 7/2; ; 17/5; 7/2; 7/2; 10/3; ; 7/2; 17/5; 31/10; 10/3; 17/5; 15/4; ; 17/5; ; 17/5; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-06 11:26:01 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 3/4; 3/4; 3/4; ; 8/11; 7/10; 4/5; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 7/10; 3/4; 8/11; 5/7; 7/10; 8/11; 14/19; 77/100; 8/11; 8/11; ; 8/11; ; ; ; 
Draw; 14/5; 11/4; 13/5; ; 11/4; 5/2; 27/10; 11/4; 14/5; 11/4; 13/5; 23/10; 11/4; 12/5; 13/5; 27/10; 45/17; 13/5; 13/5; 13/5; 3; 11/4; 45/17; ; 45/17; ; ; ; 
Guiseley; 10/3; 18/5; 10/3; ; 7/2; 3; 16/5; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 7/2; 7/2; 7/2; 62/17; 31/10; 3; 17/5; 15/4; 29/10; 13/4; ; 13/4; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-06 16:07:53 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 7/10; 7/10; 7/10; ; 8/11; 4/6; 7/10; 4/6; 8/11; 3/4; 8/11; 4/6; 8/11; 7/10; 8/11; 8/11; 5/7; 7/10; 8/11; 5/7; 77/100; 11/17; 8/11; ; 8/11; ; ; 4/6; 
Draw; 3; 13/5; 13/5; ; 14/5; 13/5; 29/10; 11/4; 14/5; 14/5; 13/5; 13/5; 27/10; 5/2; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 3; 14/5; 45/17; ; 45/17; ; ; 23/10; 
Guiseley; 7/2; 18/5; 7/2; ; 18/5; 16/5; 18/5; 7/2; 10/3; 7/2; 17/5; 16/5; 7/2; 7/2; 7/2; 7/2; 39/11; 31/10; 3; 39/11; 15/4; 33/10; 13/4; ; 13/4; ; ; 10/3; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-06 20:08:18 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 7/10; 7/10; 8/11; ; 8/11; 4/6; 7/10; 4/6; 8/11; 3/4; 8/11; 7/10; 8/11; 7/10; 8/11; 8/11; 5/7; 7/10; 8/11; 5/7; 77/100; 3/4; 8/11; ; 8/11; ; ; 4/6; 
Draw; 3; 13/5; 13/5; ; 11/4; 5/2; 29/10; 11/4; 14/5; 14/5; 13/5; 5/2; 27/10; 5/2; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 3; 14/5; 45/17; ; 45/17; ; ; 5/2; 
Guiseley; 7/2; 18/5; 17/5; ; 18/5; 16/5; 18/5; 7/2; 10/3; 10/3; 17/5; 16/5; 7/2; 7/2; 7/2; 7/2; 39/11; 31/10; 3; 39/11; 15/4; 33/10; 13/4; ; 13/4; ; ; 10/3; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-07 13:09:42 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 7/10; 8/11; 8/11; ; 8/11; 4/6; 7/10; 4/6; 8/11; 3/4; 8/11; 7/10; 8/11; 7/10; 8/11; 8/11; 5/7; 7/10; 8/11; 5/7; 77/100; 13/18; 8/11; ; 8/11; ; ; 4/6; 
Draw; 3; 13/5; 13/5; ; 11/4; 5/2; 29/10; 11/4; 14/5; 14/5; 13/5; 5/2; 27/10; 5/2; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 3; 14/5; 45/17; ; 45/17; ; ; 5/2; 
Guiseley; 7/2; 7/2; 7/2; ; 18/5; 16/5; 18/5; 7/2; 10/3; 7/2; 17/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 31/10; 3; 7/2; 15/4; 17/5; 13/4; ; 13/4; ; ; 10/3; 
