META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 00:22:54 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; ; 11/10; ; ; 23/20; ; 6/5; ; ; ; ; 1; 23/20; ; ; ; 15/13; ; ; ; ; ; ; ; ; 4/7; ; 
North Ferriby Utd; 13/5; 21/10; ; 21/10; 23/10; 21/10; 12/5; 9/4; 12/5; 9/4; 23/10; 11/5; 9/4; 47/20; ; 12/5; 12/5; 9/4; 2; 9/4; 40/17; 5/2; 11/5; ; ; 9/4; ; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 20:21:39 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 6/5; 21/20; ; ; 21/20; 1; 
North Ferriby Utd; 13/5; 23/10; 47/20; 12/5; 12/5; 21/10; 12/5; 9/4; 23/10; 9/4; 12/5; 5/2; 9/4; 47/20; 23/10; 12/5; 12/5; 9/4; 2; 9/4; 12/5; 5/2; 11/5; ; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 12/5; 11/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 5/2; 27/10; ; ; 13/5; 23/10; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-29 00:21:17 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 1; 1; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 1; 13/12; 21/20; 19/20; ; 1; 21/20; 
North Ferriby Utd; 13/5; 12/5; 47/20; 12/5; 12/5; 21/10; 12/5; 9/4; 12/5; 9/4; 5/2; 5/2; 23/10; 49/20; 5/2; 12/5; 12/5; 9/4; 2; 9/4; 5/2; 51/19; 11/5; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 12/5; 11/5; 12/5; 23/10; 13/5; 23/10; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 77/29; 27/10; 5/2; ; 5/2; 23/10; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-29 04:20:37 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 1; 1; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 1; 13/12; 21/20; 19/20; ; 1; 21/20; 
North Ferriby Utd; 13/5; 12/5; 47/20; 12/5; 12/5; 21/10; 12/5; 9/4; 12/5; 9/4; 5/2; 5/2; 23/10; 49/20; 5/2; 12/5; 12/5; 9/4; 2; 9/4; 5/2; 51/19; 11/5; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 12/5; 11/5; 12/5; 23/10; 13/5; 23/10; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 77/29; 27/10; 5/2; ; 5/2; 23/10; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-29 08:20:45 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 11/10; 1; 1; 11/10; 1; 1; 13/12; 15/14; 1; ; 1; 21/20; 
Draw; 5/2; 5/2; 12/5; 11/5; 12/5; 23/10; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 11/5; 23/10; 5/2; 5/2; 23/10; 5/2; 27/11; 77/29; 28/11; 5/2; ; 5/2; 23/10; 
North Ferriby Utd; 13/5; 23/10; 47/20; 23/10; 12/5; 21/10; 12/5; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 49/20; 5/2; 12/5; 12/5; 23/10; 2; 23/10; 5/2; 51/19; 9/4; 12/5; ; 12/5; 23/10; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-29 12:21:01 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; 11/10; 11/10; 21/20; 1; 11/10; 1; 1; 13/12; 15/14; 1; ; 11/10; 21/20; 
Draw; 12/5; 5/2; 12/5; 11/5; 12/5; 23/10; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 9/4; 23/10; 12/5; 5/2; 23/10; 5/2; 12/5; 77/29; 28/11; 12/5; ; 5/2; 23/10; 
North Ferriby Utd; 5/2; 23/10; 47/20; 9/4; 12/5; 21/10; 23/10; 23/10; 12/5; 23/10; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 12/5; 23/10; 2; 23/10; 27/11; 51/19; 9/4; 23/10; ; 23/10; 23/10; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-29 16:21:04 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 21/20; 21/20; 21/20; 20/21; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 1; 11/10; 1; 21/20; 10/9; 15/14; 1; ; 10/9; 21/20; 
North Ferriby Utd; 5/2; 12/5; 47/20; 21/10; 12/5; 21/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 13/5; 12/5; 13/5; 12/5; 12/5; 23/10; 2; 23/10; 12/5; 13/5; 23/10; 23/10; ; 12/5; 12/5; 
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 23/10; 5/2; 5/2; 23/10; 5/2; 12/5; 77/29; 5/2; 5/2; ; 5/2; 12/5; 
