META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-26 20:25:32 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; 13/2; 11/2; 6; 6; 6; 19/4; 6; 6; 11/2; 6; 6; 13/2; 6; 6; 11/2; 6; 13/2; 5; 23/4; 5; 13/2; 37/5; 49/10; 5; ; ; 7; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 04:22:08 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 2/5; 3/8; 5/11; 2/5; 4/9; 3/8; 9/20; 3/7; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 16/5; 16/5; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 7/2; 18/5; 33/10; 31/10; 3; 18/5; 18/5; 33/10; 33/10; ; ; 10/3; 3; 
North Ferriby Utd; 13/2; 11/2; 6; 11/2; 6; 19/4; 6; 6; 11/2; 6; 6; 13/2; 6; 6; 11/2; 6; 13/2; 5; 23/4; 5; 13/2; 37/5; 49/10; 5; ; ; 33/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 08:21:54 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 4/9; 4/9; 40/85; 4/9; 4/9; 2/5; 9/20; 2/5; 4/9; 10/21; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 7/17; 5/11; 2/5; 4/9; 7/17; 9/20; 17/35; 5/11; ; ; 4/9; 4/9; 
Draw; 10/3; 16/5; 31/10; 14/5; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 16/5; 7/2; 10/3; 7/2; 33/10; 31/10; 3; 7/2; 18/5; 17/5; 33/10; ; ; 10/3; 10/3; 
North Ferriby Utd; 6; 11/2; 11/2; 5; 6; 19/4; 11/2; 6; 11/2; 11/2; 6; 13/2; 6; 11/2; 11/2; 6; 6; 5; 23/4; 5; 6; 37/5; 24/5; 5; ; ; 34/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 12:22:18 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 4/9; 4/9; 40/85; 4/9; 9/20; 2/5; 9/20; 2/5; 1/2; 10/21; 1/2; 4/9; 9/20; 4/9; 4/9; 4/9; 7/17; 5/11; 2/5; 4/9; 7/17; 47/100; 17/35; 5/11; ; ; 4/9; 4/9; 
Draw; 10/3; 16/5; 31/10; 14/5; 7/2; 3; 17/5; 10/3; 10/3; 16/5; 10/3; 10/3; 10/3; 16/5; 7/2; 10/3; 7/2; 33/10; 31/10; 3; 7/2; 73/20; 17/5; 33/10; ; ; 10/3; 10/3; 
North Ferriby Utd; 6; 11/2; 11/2; 5; 6; 19/4; 11/2; 6; 11/2; 11/2; 11/2; 13/2; 11/2; 11/2; 11/2; 6; 113/19; 5; 23/4; 5; 113/19; 67/10; 24/5; 5; ; ; 33/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 16:24:04 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 4/9; 4/9; 40/85; 4/9; 9/20; 2/5; 9/20; 2/5; 1/2; 10/21; 1/2; 4/9; 9/20; 4/9; 4/9; 4/9; 2/5; 5/11; 2/5; 4/9; 2/5; 47/100; 17/35; 5/11; ; ; 4/9; 4/9; 
Draw; 10/3; 16/5; 31/10; 14/5; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 7/2; 10/3; 39/11; 33/10; 31/10; 3; 39/11; 73/20; 13/4; 33/10; ; ; 10/3; 3; 
North Ferriby Utd; 6; 11/2; 11/2; 5; 6; 19/4; 11/2; 11/2; 11/2; 11/2; 11/2; 13/2; 11/2; 11/2; 11/2; 6; 6; 5; 23/4; 5; 6; 67/10; 51/10; 5; ; ; 32/5; 27/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 20:23:56 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 3/8; 5/11; 2/5; 4/9; 3/8; 47/100; 6/13; 5/11; ; ; 4/9; 4/9; 
Draw; 10/3; 16/5; 31/10; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 10/3; 39/11; 33/10; 31/10; 3; 39/11; 73/20; 57/17; 33/10; ; ; 7/2; 10/3; 
North Ferriby Utd; 6; 11/2; 11/2; 11/2; 6; 19/4; 6; 11/2; 11/2; 6; 6; 13/2; 11/2; 6; 11/2; 6; 25/4; 5; 23/4; 5; 25/4; 67/10; 27/5; 5; ; ; 32/5; 33/5; 
