META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 08:22:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 7/5; ; 27/20; ; ; ; ; 11/8; 23/17; 23/17; ; 27/20; 23/17; ; ; 23/17; ; ; 1/20; ; 
Chester; 19/10; ; ; 9/5; 15/8; ; 19/10; 9/5; 9/5; ; 15/8; ; ; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; ; ; ; 9/4; 23/10; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 12:24:37 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 7/5; 13/10; 7/5; ; 27/20; ; ; ; ; 11/8; 23/17; 23/17; ; 27/20; 23/17; ; ; 23/17; ; ; 1/20; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; 9/5; 9/5; ; 15/8; ; ; ; ; 15/8; 24/13; 9/5; ; 9/5; 9/5; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 23/10; 23/10; 12/5; ; 11/5; ; ; ; ; 9/4; 9/4; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 16:23:55 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; 13/10; 11/8; 13/10; 7/5; 5/4; 7/5; 13/10; 7/5; ; 27/20; 13/10; ; ; ; 11/8; 23/17; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1/3; ; 
Chester; 19/10; 9/5; 19/10; 9/5; 15/8; 17/10; 19/10; 9/5; 9/5; ; 15/8; 7/4; ; ; ; 15/8; 9/5; 9/5; 17/10; 9/5; 9/5; 83/41; ; 9/5; ; ; 6/5; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 12/5; 23/10; 23/10; 23/10; 12/5; ; 11/5; 23/10; ; ; ; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 20:24:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 7/5; 13/10; 11/8; 13/10; 7/5; 5/4; 29/20; 13/10; 7/5; 7/5; 11/8; 13/10; ; ; ; 7/5; 23/17; 23/17; 23/17; 27/20; 23/17; 23/15; 23/18; 23/17; ; ; 1/3; ; 
Chester; 15/8; 9/5; 15/8; 17/10; 15/8; 17/10; 19/10; 9/5; 9/5; 15/8; 15/8; 7/4; ; ; ; 15/8; 9/5; 9/5; 17/10; 9/5; 9/5; 57/29; 19/11; 9/5; ; ; 5/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; ; ; ; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 00:22:58 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 7/5; 7/5; 11/8; 11/8; 29/20; 5/4; 7/5; 13/10; 7/5; 7/5; 11/8; 13/10; 7/5; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 27/20; 7/5; 23/15; 23/18; 23/17; ; ; 11/8; ; 
Chester; 15/8; 9/5; 37/20; 7/4; 15/8; 17/10; 15/8; 9/5; 15/8; 15/8; 9/5; 7/4; 37/20; 15/8; 9/5; 15/8; 24/13; 9/5; 17/10; 9/5; 24/13; 57/29; 19/11; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 9/4; 2; 12/5; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; ; ; 11/5; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 04:23:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 7/5; 7/5; 11/8; 11/8; 29/20; 5/4; 7/5; 13/10; 7/5; 7/5; 11/8; 13/10; ; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 27/20; 7/5; 23/15; 23/18; 23/17; ; ; 11/8; ; 
