META; english/non-league/national-league/maidstone-v-barrow; 2017-03-26 04:22:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 04:19:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 11/2; 6; 13/2; 6; 6; 13/2; 6; 11/2; 6; 6; 6; 6; 6; 6; 11/2; 13/2; 25/4; 13/2; 13/2; ; 11/2; 13/2; ; 13/2; ; ; 24/5; 
Dagenham & Redbridge 1-0; 13/2; 15/2; 15/2; 15/2; 7; 7; 15/2; 7; 7; 7; 7; 7; 7; 7; 7; 7; 31/4; 13/2; 7; 31/4; ; 67/10; 7; ; 7; ; ; 6; 
Dagenham & Redbridge 2-1; 15/2; 15/2; 15/2; 15/2; 7; 7; 15/2; 7; 15/2; 7; 7; 15/2; 7; 15/2; 7; 7; 8; 15/2; 15/2; 8; ; 7; 15/2; ; 15/2; ; ; 28/5; 
Dagenham & Redbridge 2-0; 8; 17/2; 9; 9; 9; 8; 19/2; 9; 8; 17/2; 17/2; 8; 9; 17/2; 8; 8; 37/4; 35/4; 9; 37/4; ; 79/10; 9; ; 9; ; ; 38/5; 
Draw 0-0; 10; 12; 12; 12; 11; 12; 8; 17/2; 11; 12; 12; 12; 15/2; 12; 11; 9; 9; 31/4; 10; 9; ; 12; 10; ; 10; ; ; 48/5; 
Eastleigh 1-0; 12; 12; 12; 11; 12; 11; 13; 13; 11; 11; 12; 11; 11; 12; 11; 11; 23/2; 10; 13; 23/2; ; 11; 13; ; 13; ; ; 51/5; 
Eastleigh 2-1; 12; 12; 12; 11; 12; 11; 13; 12; 12; 11; 12; 11; 11; 11; 11; 11; 47/4; 12; 13; 47/4; ; 11; 13; ; 13; ; ; 56/5; 
Dagenham & Redbridge 3-1; 14; 12; 13; 14; 12; 12; 13; 13; 12; 12; 12; 12; 12; 12; 12; 12; 14; 13; 13; 14; ; 13; 13; ; 13; ; ; 58/5; 
Draw 2-2; 12; 12; 12; 14; 12; 12; 13; 12; 12; 12; 12; 12; 12; 12; 11; 12; 55/4; 27/2; 13; 55/4; ; 12; 13; ; 13; ; ; 58/5; 
Dagenham & Redbridge 3-0; 14; 14; 15; 16; 14; 14; 17; 16; 14; 14; 16; 14; 16; 14; 12; 14; 16; 29/2; 14; 16; ; 14; 14; ; 14; ; ; 31/2; 
Dagenham & Redbridge 3-2; 22; 22; 20; 22; 20; 22; 21; 20; 22; 20; 20; 20; 20; 20; 20; 20; 23; 22; 22; 23; ; 25; 22; ; 22; ; ; 92/5; 
Eastleigh 2-0; 20; 20; 20; 20; 20; 20; 25; 22; 22; 20; 22; 20; 22; 20; 18; 18; 77/4; 18; 21; 77/4; ; 20; 21; ; 21; ; ; 22; 
Any Other Score; ; ; 18; ; ; ; ; 18; 28; ; ; ; ; ; ; ; ; 19; ; ; ; 19; ; ; ; ; ; ; 
Dagenham & Redbridge 4-1; 28; 28; 25; 28; 28; 28; 30; 30; 28; 28; 28; 28; 30; 28; 22; 25; 29; 28; 26; 29; ; 30; 26; ; 26; ; ; ; 
Eastleigh 3-1; 33; 33; 28; 28; 28; 28; 30; 30; 33; 28; 28; 28; 30; 28; 22; 25; 107/4; 25; 30; 107/4; ; 30; 30; ; 30; ; ; 37; 
Dagenham & Redbridge 4-0; 33; 33; 30; 33; 33; 33; 35; 35; 33; 28; 33; 28; 33; 28; 25; 28; 63/2; 30; 28; 63/2; ; 35; 28; ; 28; ; ; ; 
Eastleigh 3-2; 40; 33; 28; 33; 28; 33; 35; 33; 33; 28; 33; 28; 33; 28; 25; 28; 63/2; 35; 36; 63/2; ; 35; 36; ; 36; ; ; 39; 
Dagenham & Redbridge 4-2; 40; 50; 40; 50; 40; 50; 50; 45; 50; 40; 45; 40; 50; 40; 33; 40; 87/2; 50; 45; 87/2; ; 50; 45; ; 45; ; ; ; 
Eastleigh 3-0; 40; 50; 45; 50; 40; 50; 55; 60; 50; 50; 50; 40; 66; 40; 50; 40; 40; 50; 45; 40; ; 50; 45; ; 45; ; ; 75; 
Dagenham & Redbridge 5-1; 50; 66; ; 80; 66; 80; 70; 80; 80; 66; 66; 66; 80; 70; 50; 50; 237/4; ; 60; 237/4; ; ; 60; ; 60; ; ; ; 
Draw 3-3; 40; 50; 40; 50; 40; 50; 50; 45; 50; 40; 45; 40; 60; 40; 40; 40; 46; 80; 55; 46; ; 50; 55; ; 55; ; ; 61; 
Dagenham & Redbridge 5-0; 66; 80; ; 100; 80; 100; 90; 100; 80; 75; 80; 66; 90; 80; 66; 66; 63; ; 66; 63; ; ; 66; ; 66; ; ; ; 
Eastleigh 4-1; 80; 80; 70; 80; 66; 100; 90; 100; 100; 80; 80; 66; 100; 90; 80; 66; 247/4; 80; 80; 247/4; ; 100; 80; ; 80; ; ; ; 
Dagenham & Redbridge 5-2; 100; 100; ; 125; 100; 125; 110; 125; ; 100; 90; 80; 125; 100; 80; 80; 75; ; 110; 75; ; ; 110; ; 110; ; ; ; 
Eastleigh 4-2; 80; 80; 75; 80; 80; 100; 90; 100; 100; 90; 80; 80; 125; 100; 80; 66; 133/2; 125; 100; 133/2; ; 110; 100; ; 100; ; ; ; 
