META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-16 00:26:15 GMT+3; 2016-10-22 15:00; e70300-dr003
Maidstone; 7/4; 7/4; ; 17/10; 7/4; 8/5; 9/5; 7/4; 7/4; ; 7/4; 6/4; 17/10; ; ; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 1/20; ; 
Draw; 13/5; 23/10; ; 9/4; 13/5; 12/5; 5/2; 12/5; 13/5; ; 23/10; 23/10; 51/20; ; ; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-19 04:22:20 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 13/10; 7/5; 5/4; 7/5; 13/10; 7/5; ; 11/8; 11/8; 11/8; ; ; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 1/20; ; 
Maidstone; 7/4; 7/4; ; 17/10; 7/4; 8/5; 9/5; 7/4; 7/4; ; 7/4; 6/4; 17/10; ; ; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 1/20; ; 
Draw; 13/5; 23/10; ; 9/4; 13/5; 12/5; 5/2; 12/5; 13/5; ; 23/10; 23/10; 51/20; ; ; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-19 08:22:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 13/10; 7/5; 5/4; 7/5; 13/10; 7/5; ; 11/8; 11/8; 11/8; ; ; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 1/20; ; 
Maidstone; 7/4; 7/4; ; 17/10; 7/4; 8/5; 9/5; 7/4; 7/4; ; 7/4; 6/4; 17/10; ; ; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 1/20; ; 
Draw; 13/5; 23/10; ; 9/4; 13/5; 12/5; 5/2; 12/5; 13/5; ; 23/10; 23/10; 51/20; ; ; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-19 12:24:57 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 13/10; 7/5; 5/4; 7/5; 13/10; 7/5; ; 11/8; 11/8; 11/8; ; ; ; ; ; 23/17; ; ; ; ; ; ; ; 1/20; ; 
Maidstone; 7/4; 7/4; ; 17/10; 7/4; 8/5; 9/5; 7/4; 7/4; ; 7/4; 6/4; 17/10; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; 1/20; ; 
Draw; 13/5; 23/10; ; 9/4; 13/5; 12/5; 5/2; 12/5; 13/5; ; 23/10; 23/10; 51/20; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-19 16:24:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 13/10; 7/5; 5/4; 7/5; 13/10; 7/5; ; 11/8; 11/8; 11/8; ; ; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 1/20; ; 
Maidstone; 7/4; 7/4; ; 17/10; 7/4; 8/5; 9/5; 7/4; 7/4; ; 7/4; 6/4; 17/10; ; ; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 1/20; ; 
Draw; 13/5; 23/10; ; 9/4; 13/5; 12/5; 5/2; 12/5; 13/5; ; 23/10; 23/10; 51/20; ; ; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-19 20:22:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 7/5; 13/10; 13/10; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 11/8; 7/5; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 13/10; 7/5; 
Maidstone; 19/10; 7/4; 19/10; 9/5; 15/8; 8/5; 15/8; 7/4; 15/8; 19/10; 15/8; 7/4; 9/5; 15/8; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 7/4; 7/4; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 11/5; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 00:22:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 13/10; 13/10; 13/10; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 11/8; 11/8; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 11/8; 13/10; 
Maidstone; 19/10; 9/5; 19/10; 9/5; 15/8; 8/5; 15/8; 7/4; 15/8; 19/10; 15/8; 7/4; 9/5; 15/8; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 9/5; 9/5; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 11/5; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 04:21:53 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 13/10; 13/10; 13/10; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 11/8; 11/8; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 11/8; 13/10; 
Maidstone; 19/10; 9/5; 19/10; 9/5; 15/8; 8/5; 15/8; 7/4; 15/8; 19/10; 15/8; 7/4; 9/5; 15/8; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 9/5; 9/5; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 08:22:14 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 13/10; 13/10; 13/10; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 11/8; 11/8; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 11/8; 13/10; 
Maidstone; 19/10; 9/5; 19/10; 9/5; 15/8; 7/4; 15/8; 7/4; 15/8; 19/10; 15/8; 7/4; 9/5; 15/8; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 9/5; 9/5; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 11/5; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 12:22:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 13/10; 5/4; 13/10; 7/5; 5/4; 13/10; 13/10; 7/5; 7/5; 13/10; 11/8; 11/8; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 13/10; 13/10; 
Maidstone; 19/10; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 7/4; 15/8; 2; 19/10; 7/4; 9/5; 19/10; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 19/10; 7/4; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 12/5; 12/5; 9/4; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 11/5; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 16:22:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 5/4; 13/10; 5/4; 13/10; 7/5; 5/4; 13/10; 13/10; 13/10; 7/5; 13/10; 11/8; 11/8; 13/10; 11/8; ; ; ; 23/17; ; ; ; ; 11/8; ; ; 13/10; 5/4; 
Maidstone; 19/10; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 7/4; 15/8; 2; 19/10; 7/4; 9/5; 19/10; 17/10; ; ; ; 8/5; ; ; ; ; 28/17; ; ; 19/10; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 12/5; 12/5; 9/4; 9/4; 23/10; 47/20; 2; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 11/5; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-20 20:23:15 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 11/8; 13/10; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; ; ; ; 5/4; 5/4; 
Maidstone; 2; 19/10; 2; 2; 2; 7/4; 2; 7/4; 2; 2; 2; 7/4; 19/10; 2; 21/10; ; ; ; 8/5; ; ; ; ; ; ; ; 21/10; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 12/5; 12/5; 12/5; 9/4; 23/10; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 00:22:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 11/8; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 5/4; 5/4; 
Maidstone; 2; 19/10; 2; 2; 2; 7/4; 2; 7/4; 2; 2; 2; 7/4; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 12/5; 12/5; 12/5; 9/4; 23/10; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 04:21:54 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 11/8; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 5/4; 6/5; 
Maidstone; 2; 19/10; 2; 2; 2; 7/4; 2; 15/8; 2; 2; 2; 7/4; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 08:21:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 11/8; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 5/4; 6/5; 
Maidstone; 2; 19/10; 2; 2; 2; 7/4; 2; 15/8; 2; 2; 2; 7/4; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 12:22:46 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 11/8; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 6/5; 6/5; 
Maidstone; 2; 19/10; 39/20; 2; 2; 7/4; 2; 15/8; 2; 2; 2; 7/4; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 16:25:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 5/4; 6/5; 
Maidstone; 2; 19/10; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 2; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 9/4; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 9/4; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-21 20:25:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 11/8; 6/5; 
Maidstone; 2; 19/10; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 21/10; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 12/5; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 23/10; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-22 00:23:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 27/20; 6/5; 
Maidstone; 2; 19/10; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 21/10; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 12/5; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 23/10; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-22 04:23:06 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 27/20; 6/5; 
