META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 00:26:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 23/10; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 00:23:30 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 04:22:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 08:22:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 12:24:50 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 11/5; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 16:24:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/20; ; 
Draw; 18/5; 19/5; ; 10/3; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 21/10; ; 
Guiseley; 13/2; 15/2; ; 13/2; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-19 20:22:24 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 1/3; 4/11; 7/20; 1/3; 1/3; 1/3; 7/20; 1/3; 7/20; 1/3; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 4/11; 4/11; 
Draw; 15/4; 19/5; 18/5; 10/3; 19/5; 16/5; 4; 7/2; 19/5; 15/4; 18/5; 18/5; 15/4; 7/2; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 15/2; 7; 6; 15/2; 6; 8; 13/2; 7; 8; 15/2; 13/2; 15/2; 7; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 36/5; 33/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 00:22:05 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 4/11; 1/3; 4/11; 7/20; 1/3; 3/10; 1/3; 4/11; 4/11; 7/20; 1/3; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 4/11; 4/11; 
Draw; 15/4; 18/5; 18/5; 10/3; 19/5; 16/5; 4; 7/2; 19/5; 15/4; 18/5; 18/5; 15/4; 17/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 7; 7; 6; 15/2; 6; 15/2; 15/2; 7; 15/2; 15/2; 13/2; 15/2; 7; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 33/5; 33/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 04:21:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 7/20; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 4/11; 1/3; 7/20; 1/3; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 18/5; 18/5; 10/3; 4; 16/5; 21/5; 7/2; 19/5; 15/4; 15/4; 18/5; 15/4; 18/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 7; 7; 7; 15/2; 6; 15/2; 15/2; 7; 15/2; 7; 13/2; 8; 13/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 34/5; 34/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 08:22:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 7/20; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 4/11; 1/3; 7/20; 1/3; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 18/5; 18/5; 10/3; 4; 16/5; 21/5; 7/2; 19/5; 15/4; 15/4; 18/5; 15/4; 18/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 13/2; 7; 7; 15/2; 6; 15/2; 7; 7; 15/2; 7; 13/2; 8; 13/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 34/5; 34/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 12:22:22 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 7/20; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 1/3; 3/10; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 18/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 19/5; 15/4; 15/4; 18/5; 15/4; 18/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 13/2; 7; 7; 15/2; 6; 15/2; 7; 7; 15/2; 15/2; 13/2; 8; 7; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 34/5; 28/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 16:22:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 7/20; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 1/3; 3/10; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 18/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 19/5; 15/4; 15/4; 18/5; 15/4; 18/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 7/2; 7/2; 
Guiseley; 7; 13/2; 7; 7; 15/2; 6; 15/2; 7; 7; 15/2; 15/2; 13/2; 8; 7; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 7; 34/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-20 20:23:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 1/3; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; ; ; ; 1/3; 1/3; 
Draw; 15/4; 18/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 18/5; 15/4; 19/5; 4; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 7/2; 
Guiseley; 7; 13/2; 7; 7; 15/2; 6; 8; 7; 7; 15/2; 15/2; 13/2; 8; 15/2; 15/2; ; ; ; 11/2; ; ; ; ; ; ; ; 36/5; 34/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 00:22:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 4/11; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 3/10; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 18/5; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 4; 7/2; 
Guiseley; 7; 15/2; 7; 7; 15/2; 6; 8; 7; 7; 15/2; 15/2; 13/2; 17/2; 15/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 38/5; 34/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 04:21:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 3/10; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 18/5; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 4; 7/2; 
Guiseley; 7; 15/2; 7; 7; 15/2; 6; 8; 7; 7; 15/2; 15/2; 13/2; 17/2; 15/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 38/5; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 08:21:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 3/10; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 18/5; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 4; 7/2; 
Guiseley; 7; 15/2; 7; 7; 15/2; 6; 8; 7; 7; 15/2; 15/2; 13/2; 17/2; 15/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 38/5; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 12:22:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 7/20; 3/10; 1/3; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 37/10; 10/3; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 18/5; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 4; 7/2; 
Guiseley; 7; 15/2; 7; 7; 15/2; 6; 8; 7; 7; 15/2; 15/2; 13/2; 17/2; 15/2; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 38/5; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 16:25:05 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 3/10; 3/10; 1/3; 7/20; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 19/5; 7/2; 4; 16/5; 21/5; 7/2; 4; 4; 19/5; 4; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 4; 7/2; 
Guiseley; 7; 15/2; 15/2; 7; 8; 6; 8; 7; 7; 8; 8; 10; 17/2; 8; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 8; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-21 20:24:59 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 3/10; 3/10; 1/3; 7/20; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 19/5; 7/2; 4; 16/5; 21/5; 4; 4; 4; 4; 4; 4; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 21/5; 7/2; 
Guiseley; 7; 15/2; 15/2; 7; 8; 6; 8; 15/2; 7; 8; 8; 10; 17/2; 8; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 8; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-22 00:23:27 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 3/10; 1/3; 7/20; 1/3; 3/10; 1/3; 1/3; 4/11; 4/11; ; 3/10; 1/3; ; ; ; 4/11; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 19/5; 7/2; 4; 16/5; 21/5; 4; 4; 4; 4; 19/5; ; 19/5; 4; ; ; ; 7/2; ; ; ; ; 50/13; ; ; 21/5; 7/2; 
Guiseley; 7; 15/2; 15/2; 7; 15/2; 6; 8; 15/2; 7; 8; 15/2; 7; ; 8; 15/2; ; ; ; 11/2; ; ; ; ; 7; ; ; 8; 7; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-22 04:23:02 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 3/10; 1/3; 7/20; 3/10; 3/10; 1/3; 1/3; 4/11; 4/11; 3/10; 3/10; 1/3; ; ; ; 1/3; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 19/5; 7/2; 4; 16/5; 22/5; 7/2; 4; 4; 4; 19/5; 4; 19/5; 4; ; ; ; 18/5; ; ; ; ; 50/13; ; ; 22/5; 7/2; 
Guiseley; 7; 15/2; 15/2; 7; 15/2; 6; 17/2; 7; 7; 8; 15/2; 7; 17/2; 8; 15/2; ; ; ; 25/4; ; ; ; ; 7; ; ; 8; 38/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-22 08:23:34 GMT+3; 2016-10-22 15:00; e70300-dr003
