META; english/non-league/national-league/woking-v-barrow; 2016-10-16 00:26:24 GMT+3; 2016-10-22 15:00; e70300-dr003
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 12:24:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 6/5; ; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 11/10; 15/13; ; 23/20; 11/10; ; ; 15/13; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 16:25:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; 23/20; 6/5; 21/20; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 11/10; 15/13; 11/10; 23/20; 11/10; ; ; 15/13; ; ; ; ; 
Woking; 11/5; 17/10; ; 2; 21/10; 2; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 39/19; 21/10; 21/10; 21/10; 39/19; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 23/10; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 20:25:00 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 5/4; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/50; ; 
Woking; 11/5; 2; ; 2; 11/5; 2; 11/5; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/50; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 00:23:52 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 5/4; ; 11/10; 6/5; 21/20; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 2; ; 2; 11/5; 2; 9/4; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/10; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 04:23:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 5/4; ; 11/10; 6/5; 21/20; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 2; ; 2; 11/5; 2; 11/5; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/10; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 08:24:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 5/4; ; 11/10; 6/5; 21/20; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 2; ; 2; 11/5; 2; 9/4; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/10; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 12:27:34 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 5/4; ; 11/10; 6/5; 21/20; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/100; ; 
Woking; 11/5; 2; ; 2; 11/5; 2; 9/4; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/100; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 16:26:25 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; ; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 11/5; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; 1/10; ; 
Draw; 12/5; 5/2; ; 9/4; 12/5; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; ; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-18 20:25:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/8; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 00:23:45 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/8; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 04:22:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/8; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 08:22:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 41/18; ; 21/10; ; ; 1/8; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 12:25:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; ; 15/13; 5/4; ; ; ; ; 1/10; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; ; 21/10; 19/8; ; ; ; ; 1/8; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; ; 40/17; 5/2; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 16:24:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; ; 11/10; 6/5; 21/20; 23/20; 6/5; 6/5; ; 23/20; 6/5; 6/5; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 5/4; ; 15/13; ; ; 1/25; ; 
Woking; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; 2; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 19/8; ; 21/10; ; ; 1/25; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; 23/10; 5/2; 23/10; 12/5; ; 12/5; 23/10; 47/20; ; ; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-19 20:22:38 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 13/10; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 15/13; 11/10; 23/20; 5/4; 9/7; ; 15/13; ; ; 23/20; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 2; 21/10; 21/10; 21/10; 2; 68/29; ; 21/10; ; ; 19/10; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 9/4; 23/10; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 00:22:20 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 13/10; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 15/13; 11/10; 23/20; 5/4; 9/7; ; 15/13; ; ; 10/9; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 37/19; 21/10; 21/10; 21/10; 37/19; 68/29; ; 21/10; ; ; 19/10; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 40/17; 12/5; 11/5; 12/5; 40/17; 27/11; ; 12/5; ; ; 23/10; 23/10; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 04:22:04 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 15/13; 11/10; 23/20; 5/4; 9/7; ; 15/13; ; ; 10/9; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 37/19; 21/10; 21/10; 21/10; 37/19; 68/29; ; 21/10; ; ; 19/10; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 40/17; 12/5; 11/5; 12/5; 40/17; 27/11; ; 12/5; ; ; 23/10; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 08:22:24 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 15/13; 11/10; 23/20; 5/4; 9/7; ; 15/13; ; ; 23/20; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 37/19; 21/10; 21/10; 21/10; 37/19; 68/29; ; 21/10; ; ; 19/10; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 23/10; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 12:22:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 10/9; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 12/5; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 23/10; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 16:22:26 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 10/9; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 19/10; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 23/10; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-20 20:23:25 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; ; 6/5; 9/7; ; ; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 2; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 39/19; 21/10; 21/10; ; 39/19; 68/29; ; ; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; ; 12/5; 27/11; ; ; ; ; 12/5; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 00:22:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 12/5; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 12/5; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 04:22:03 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 6/5; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 21/10; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 11/5; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 12/5; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 08:21:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 6/5; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 21/10; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 11/5; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 12/5; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 12:22:55 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 6/5; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; 2; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 68/29; ; 21/10; ; ; 2; 19/10; 
Draw; 5/2; 5/2; 49/20; 11/5; 5/2; 23/10; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 12/5; 9/4; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 16:25:22 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 15/13; 11/10; 23/20; 6/5; 9/7; ; 15/13; ; ; 6/5; 6/5; 
Woking; 21/10; 19/10; 39/20; 19/10; 21/10; 2; 2; 21/10; 2; 2; 19/10; 11/5; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 68/29; ; 21/10; ; ; 2; 19/10; 
