META; english/non-league/national-league/macclesfield-v-york; 2017-03-25 20:22:57 GMT+2; 2017-04-01 15:00; e70300-dr003
Preston; 10/11; 10/11; 19/20; 19/20; 10/11; 19/20; 37/40; 5/6; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; ; 10/11; 9/10; 5/6; 10/11; 1; 10/11; 13/15; 19/20; 9/10; ; 10/11; ; 20/21
Macclesfield; ; 5/6; 4/5; 5/6; ; 3/4; ; 8/11; ; ; ; 4/5; 4/5; ; ; ; ; 3/4; 8/11; ; 17/20; 11/13; 3/4; ; 3/4; ; ; ; 
Draw; ; 12/5; 12/5; 13/5; ; 23/10; ; 5/2; ; ; ; 11/5; 5/2; ; ; ; ; 12/5; 12/5; ; 53/20; 28/11; 12/5; ; 12/5; ; ; ; 
York; ; 16/5; 10/3; 16/5; ; 14/5; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; 31/10; 7/2; ; 73/20; 3; 7/2; ; 7/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-27 20:28:55 GMT+3; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 5/6; 5/6; 5/6; ; 3/4; ; 8/11; ; ; ; 4/5; 4/5; ; ; ; ; 3/4; 8/11; ; 17/20; 11/13; 3/4; ; 3/4; ; ; ; 
Draw; ; 12/5; 47/20; 13/5; ; 23/10; ; 5/2; ; ; ; 11/5; 5/2; ; ; ; ; 12/5; 12/5; ; 53/20; 7/3; 12/5; ; 12/5; ; ; ; 
York; ; 16/5; 10/3; 16/5; ; 3; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; 31/10; 7/2; ; 73/20; 31/10; 7/2; ; 7/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-28 00:20:16 GMT+3; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 5/6; 5/6; 5/6; ; 3/4; ; 8/11; ; ; ; 4/5; 17/20; ; ; ; ; 3/4; 8/11; ; 17/20; 4/5; 3/4; ; 3/4; ; ; ; 
Draw; ; 12/5; 47/20; 13/5; ; 9/4; ; 5/2; ; ; ; 11/5; 49/20; ; ; ; ; 12/5; 12/5; ; 53/20; 27/11; 12/5; ; 12/5; ; ; ; 
York; ; 16/5; 16/5; 16/5; ; 3; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; 31/10; 7/2; ; 73/20; 17/5; 7/2; ; 7/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-28 04:21:09 GMT+3; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 5/6; 5/6; 5/6; ; 3/4; ; 8/11; ; ; ; 4/5; 17/20; ; ; ; ; 3/4; 4/5; ; 17/20; 4/5; 4/5; ; 4/5; ; ; ; 
Draw; ; 12/5; 47/20; 13/5; ; 9/4; ; 5/2; ; ; ; 11/5; 49/20; ; ; ; ; 12/5; 12/5; ; 53/20; 27/11; 12/5; ; 12/5; ; ; ; 
York; ; 16/5; 16/5; 16/5; ; 3; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; 31/10; 3; ; 73/20; 17/5; 13/4; ; 13/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-28 12:38:33 GMT+3; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 17/20; 5/6; 5/6; ; 3/4; ; 8/11; ; ; ; 5/6; 5/6; ; ; ; ; 3/4; 4/5; ; 17/20; 16/19; 9/11; ; 9/11; ; ; ; 
Draw; ; 5/2; 47/20; 13/5; ; 9/4; ; 5/2; ; ; ; 21/10; 49/20; ; ; ; ; 12/5; 9/4; ; 53/20; 27/11; 9/4; ; 9/4; ; ; ; 
York; ; 3; 16/5; 16/5; ; 3; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; 31/10; 10/3; ; 73/20; 16/5; 57/17; ; 57/17; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-28 16:25:00 GMT+3; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 17/20; 17/20; 5/6; ; 3/4; ; 8/11; ; ; ; 5/6; 17/20; ; ; ; ; 3/4; 4/5; ; 47/50; 11/12; 9/11; ; 9/11; ; ; ; 
Draw; ; 12/5; 47/20; 13/5; ; 9/4; ; 5/2; ; ; ; 9/4; 49/20; ; ; ; ; 12/5; 9/4; ; 66/25; 12/5; 9/4; ; 9/4; ; ; ; 
York; ; 3; 3; 16/5; ; 3; ; 10/3; ; ; ; 3; 3; ; ; ; ; 31/10; 10/3; ; 13/4; 29/10; 57/17; ; 57/17; ; ; ; 
