Chester; 4/5; 17/20; 4/5; 4/5; 5/6; ; 4/5; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 3/4; 5/6; 5/6; 4/5; 4/6; 4/5; ; 13/15; 9/11; ; ; 5/6; ; 
Draw; 11/4; 5/2; 5/2; 13/5; 11/4; ; 11/4; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 28/11; ; ; 13/5; ; 
Torquay; 16/5; 29/10; 3; 11/4; 31/10; ; 16/5; 3; 3; 3; 3; 11/4; 3; 3; 29/10; 3; 3; 58/19; 3; 17/5; 3; ; 39/11; 27/10; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 16:24:01 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; 4/5; 4/5; 5/6; 3/4; 4/5; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 3/4; 5/6; 5/6; 4/5; 4/6; 4/5; ; 13/15; 9/11; ; ; 4/5; ; 
Draw; 11/4; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 28/11; ; ; 13/5; ; 
Torquay; 16/5; 29/10; 3; 11/4; 31/10; 14/5; 16/5; 3; 3; 3; 3; 11/4; 3; 3; 29/10; 3; 3; 31/10; 3; 17/5; 3; ; 39/11; 27/10; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 20:24:53 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; 5/6; 4/5; 5/6; 3/4; 4/5; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 5/6; 3/4; 5/6; 5/6; 4/5; 4/6; 4/5; 5/6; 13/15; 9/11; ; ; 4/5; 4/5; 
Draw; 11/4; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 5/2; 14/5; 13/5; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 28/11; ; ; 14/5; 13/5; 
Torquay; 16/5; 29/10; 3; 11/4; 31/10; 14/5; 16/5; 3; 3; 3; 3; 11/4; 3; 3; 3; 3; 3; 3; 3; 17/5; 3; 3; 39/11; 27/10; ; ; 3; 27/10; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 00:23:24 GMT+3; 2016-10-08 15:00; e70300-dr003
