META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-02 12:20:30 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-02 16:18:23 GMT+3; ; e70300-dr003
Spartak Moscow; 4/7; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 4/11; ; 8/15; ; ; 8/15; 49/100; 6/17; 6/11; ; 6/11; ; ; ; 
Arsenal 3-2; 28; 25; 25; 25; 20; 20; 25; 30; 25; 22; 22; ; 22; 22; 22; 22; 101/4; 22; 21; 101/4; ; 26; 21; 22; 21; ; ; 27; 
Arsenal 3-0; 33; 33; 35; 33; 33; 25; 35; 40; 33; 28; 33; ; 30; 35; 28; 28; 30; 33; 28; 30; ; 35; 28; 33; 28; ; ; 39; 
Man City 4-1; 40; 33; 40; 33; 33; 28; 35; 45; 33; 33; 33; ; 40; 35; 28; 33; 35; 35; 28; 35; ; 40; 28; 33; 28; ; ; ; 
Draw 3-3; 40; 40; 40; 40; 33; 25; 35; 50; 40; 33; 33; ; 40; 33; 40; 33; 40; 40; 33; 40; ; 43; 33; 33; 33; ; ; 42; 
Man City 4-2; 50; 50; 50; 50; 40; 40; 50; 60; 50; 40; 45; ; 50; 40; 33; 40; 175/4; 40; 38; 175/4; ; 50; 38; 50; 38; ; ; ; 
Man City 4-0; 50; 50; 55; 50; 40; 40; 55; 70; 50; 40; 50; ; 60; 50; 40; 40; 45; 50; 37; 45; ; 50; 37; 50; 37; ; ; ; 
Arsenal 4-1; 50; 50; 55; 50; 50; 50; 55; 75; 50; 50; 50; ; 60; 50; 50; 50; 45; 66; 45; 45; ; 50; 45; 50; 45; ; ; ; 
Arsenal 4-2; 50; 50; 60; 66; 50; 50; 60; 80; 66; 50; 55; ; 55; 50; 80; 50; 205/4; 66; 50; 205/4; ; 70; 50; 66; 50; ; ; ; 
Arsenal 4-0; 66; 80; 90; 66; 66; 66; 80; 125; 80; 75; 70; ; 70; 100; 80; 66; 60; 80; 66; 60; ; 90; 66; 80; 66; ; ; ; 
Man City 4-3; 80; 80; 85; 80; 66; 66; 80; 125; ; 75; 70; ; 80; 80; 80; 66; 265/4; 100; 66; 265/4; ; 110; 66; 100; 66; ; ; ; 
Arsenal 4-3; 80; 80; 95; 80; 80; 80; 90; 150; ; 80; 80; ; 90; 90; 100; 80; 70; 100; 80; 70; ; 120; 80; 100; 80; ; ; ; 
Man City 5-1; 80; 80; ; 100; 80; 80; 90; 175; 100; 80; 80; ; 100; 100; 80; 80; 275/4; ; 66; 275/4; ; ; 66; 100; 66; ; ; ; 
Man City 5-2; 100; 100; ; 125; ; 80; 110; 200; ; 100; 90; ; 125; 100; 100; 80; 315/4; ; 90; 315/4; ; ; 90; 125; 90; ; ; ; 
Man City 5-0; 100; 100; ; 125; ; 80; 110; 225; 100; 100; 100; ; 150; 150; 80; 80; 80; ; 90; 80; ; ; 90; 125; 90; ; ; ; 
Arsenal 5-1; 125; 150; ; 150; ; 100; 150; 250; 100; 125; 100; ; 150; 150; 150; 100; 165/2; ; 110; 165/2; ; ; 110; 150; 110; ; ; ; 
Any Other Score; ; ; 22; ; ; ; ; ; 20; ; ; ; ; 300; ; ; ; 33/2; ; ; ; 19; ; ; ; ; ; ; 
Arsenal 5-2; 150; 150; ; 200; ; 100; 150; 325; ; 125; 125; ; 125; 150; 200; 125; 355/4; ; 130; 355/4; ; ; 130; 200; 130; ; ; ; 
Draw 4-4; 150; 150; 175; 125; ; 100; 175; 325; ; 150; 125; ; 150; 150; 100; 125; 95; 250; 150; 95; ; 240; 150; 200; 150; ; ; ; 
Man City 5-3; 200; 200; ; ; ; 150; 175; 425; ; 150; 125; ; 150; 200; 250; 150; ; ; 160; ; ; ; 160; 250; 160; ; ; ; 
Arsenal 5-0; 200; 200; ; 200; ; 200; 200; 475; 100; 175; 125; ; 150; 250; 200; 150; 95; ; 160; 95; ; ; 160; 250; 160; ; ; ; 
Arsenal 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 5-3; 250; 200; ; ; ; 200; 250; 500; ; 200; 150; ; 150; 200; 250; 150; ; ; 225; ; ; ; 225; 250; 225; ; ; ; 
Arsenal 5-4; ; ; ; ; ; ; ; 500; ; 300; 150; ; 200; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-0; ; 250; ; 500; ; ; 350; 500; 100; 350; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-1; 500; 250; ; 300; ; ; 300; 500; ; 275; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-2; ; 250; ; 300; ; ; 325; 500; ; 300; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-3; ; ; ; ; ; ; ; 500; ; 400; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-0; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-1; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-2; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; 450; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 5-4; 500; ; ; ; ; ; ; 500; ; 275; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 6-0; 350; 250; ; 300; ; ; 250; 500; 100; 225; 150; ; 200; 300; ; 200; ; ; 225; ; ; ; 225; 250; 225; ; ; ; 
Man City 6-1; 250; 200; ; 250; ; 200; 225; 500; ; 200; 150; ; 150; 250; 200; 150; ; ; 180; ; ; ; 180; 250; 180; ; ; ; 
Man City 6-2; 350; 250; ; 300; ; 250; 250; 500; ; 225; 150; ; 175; 250; 250; 200; ; ; 225; ; ; ; 225; 250; 225; ; ; ; 
Man City 6-3; ; ; ; ; ; ; ; 500; ; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 6-4; ; ; ; ; ; ; ; 500; ; 475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 7-0; ; ; ; 500; ; ; 350; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 7-1; ; ; ; 500; ; ; 350; 500; ; 400; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 7-2; ; ; ; ; ; ; ; 500; ; 425; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-03 04:17:19 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 10/11; 4/5; ; ; ; ; 20/23; ; 9/10; ; 10/11; 5/6; 9/10; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; 13/5; ; 13/5; ; 12/5; 5/2; 51/20; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; 14/5; 3; ; ; ; ; 3; ; 14/5; ; 11/4; 13/5; 14/5; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-05 11:29:33 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 10/11; 4/5; 9/10; ; 17/20; ; 20/23; 5/6; 9/10; ; 10/11; 5/6; 9/10; 17/20; ; 10/11; 13/15; 11/13; 5/6; 13/15; 19/20; ; 8/9; ; 8/9; ; ; ; 
Draw; 13/5; 5/2; 12/5; ; 13/5; ; 13/5; 5/2; 13/5; ; 12/5; 5/2; 51/20; 12/5; ; 13/5; 5/2; 12/5; 5/2; 5/2; 53/20; ; 5/2; ; 5/2; ; ; ; 
Eastleigh; 14/5; 3; 14/5; ; 3; ; 3; 11/4; 14/5; ; 11/4; 13/5; 14/5; 27/10; ; 14/5; 27/10; 13/5; 27/10; 27/10; 16/5; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-05 16:22:49 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 10/11; 10/11; 9/10; ; 17/20; ; 9/10; 5/6; 9/10; ; 10/11; 5/6; 9/10; 17/20; ; 10/11; 13/15; 11/13; 5/6; 13/15; 19/20; ; 8/9; ; 8/9; ; ; ; 
Draw; 13/5; 12/5; 49/20; ; 13/5; ; 13/5; 5/2; 13/5; ; 12/5; 5/2; 51/20; 12/5; ; 5/2; 5/2; 12/5; 5/2; 5/2; 53/20; ; 5/2; ; 5/2; ; ; ; 
Eastleigh; 14/5; 3; 14/5; ; 3; ; 29/10; 11/4; 14/5; ; 11/4; 13/5; 14/5; 27/10; ; 14/5; 27/10; 13/5; 27/10; 27/10; 16/5; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-06 11:25:56 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 3/4; 17/20; 4/5; ; 5/6; 3/4; 5/6; 8/11; 5/6; 17/20; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 4/5; 11/13; 5/6; 4/5; 22/25; 9/11; 5/6; ; 5/6; ; ; ; 
Draw; 11/4; 13/5; 49/20; ; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 12/5; 12/5; 51/20; 23/10; 5/2; 13/5; 5/2; 12/5; 23/10; 5/2; 53/20; 5/2; 40/17; ; 40/17; ; ; ; 
Eastleigh; 10/3; 16/5; 31/10; ; 16/5; 14/5; 16/5; 16/5; 3; 16/5; 16/5; 14/5; 3; 16/5; 16/5; 16/5; 33/10; 13/5; 3; 33/10; 71/20; 11/4; 31/10; ; 31/10; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-06 16:07:48 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 3/4; 3/4; 4/5; ; 5/6; 8/11; 3/4; 8/11; 4/5; 4/5; 3/4; 3/4; 4/5; 3/4; 3/4; 4/5; 10/13; 11/13; 5/6; 10/13; 41/50; 7/9; 5/6; ; 5/6; ; ; 8/11; 
Draw; 11/4; 13/5; 5/2; ; 13/5; 12/5; 27/10; 5/2; 13/5; 13/5; 5/2; 9/4; 51/20; 12/5; 13/5; 13/5; 28/11; 12/5; 23/10; 28/11; 27/10; 13/5; 40/17; ; 40/17; ; ; 12/5; 
Eastleigh; 10/3; 10/3; 10/3; ; 16/5; 3; 7/2; 16/5; 10/3; 10/3; 13/4; 10/3; 16/5; 10/3; 7/2; 10/3; 38/11; 13/5; 3; 38/11; 77/20; 37/13; 31/10; ; 31/10; ; ; 3; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-06 20:08:12 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 3/4; 3/4; 4/5; ; 4/5; 7/10; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; 4/5; 3/4; 3/4; 4/5; 10/13; 3/4; 5/6; 10/13; 41/50; 5/6; 5/6; ; 5/6; ; ; 8/11; 
Draw; 11/4; 13/5; 5/2; ; 13/5; 12/5; 27/10; 5/2; 13/5; 13/5; 5/2; 9/4; 51/20; 12/5; 13/5; 13/5; 28/11; 12/5; 23/10; 28/11; 27/10; 28/11; 40/17; ; 40/17; ; ; 12/5; 
Eastleigh; 10/3; 10/3; 10/3; ; 10/3; 3; 7/2; 16/5; 10/3; 7/2; 13/4; 10/3; 16/5; 10/3; 7/2; 10/3; 38/11; 31/10; 3; 38/11; 77/20; 41/13; 31/10; ; 31/10; ; ; 3; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-07 13:09:35 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; 8/11; 8/11; 3/4; ; 4/5; 7/10; 8/11; 8/11; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 10/13; 3/4; 5/6; 10/13; 41/50; 11/14; 5/6; ; 5/6; ; ; 8/11; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 12/5; 27/10; 5/2; 13/5; 13/5; 5/2; 9/4; 13/5; 12/5; 13/5; 13/5; 28/11; 12/5; 23/10; 28/11; 27/10; 28/11; 40/17; ; 40/17; ; ; 12/5; 
Eastleigh; 7/2; 7/2; 17/5; ; 7/2; 16/5; 15/4; 16/5; 7/2; 7/2; 17/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 31/10; 3; 7/2; 77/20; 57/17; 31/10; ; 31/10; ; ; 10/3; 
