META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 00:19:02 GMT+3; 2017-04-01 19:45; e70300-dr003
Roma; 1/6; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/6; 1/5; 2/11; 1/6; 2/11; 1/6; 1/6; 1/6; 1/6; 3/19; 2/11; 1/6; 3/19; 9/50; 1/5; 3/19; 2/11; 1/6; ; 2/11; 2/11; 1/5
Rio Ave 4-1; 66; 66; 75; 80; 66; ; 90; 90; 100; 80; 80; 66; 80; ; 80; 66; 249/4; 100; 80; 249/4; ; 110; 80; 66; 80; ; ; ; 
Rio Ave 4-0; 80; 80; 85; 80; 66; ; 110; 100; 100; 100; 90; 66; 100; ; 80; 66; 129/2; 100; 90; 129/2; ; 130; 90; 66; 90; ; ; ; 
Draw 3-3; 80; 80; 80; 100; 66; ; 110; 100; 100; 80; 80; 66; 90; ; 80; 66; 143/2; 150; 100; 143/2; ; 130; 100; 66; 100; ; ; 129; 
Boavista 4-2; 100; 100; 100; 100; 80; ; 150; 150; 100; 100; 100; 66; 100; ; 80; 80; 309/4; 200; 130; 309/4; ; 170; 130; 80; 130; ; ; ; 
Rio Ave 4-2; 100; 100; 110; 125; 100; ; 150; 175; 100; 100; 100; 80; 125; ; 100; 100; 159/2; 250; 140; 159/2; ; 190; 140; 80; 140; ; ; ; 
Rio Ave 4-3; 250; ; 200; 150; 150; ; 350; 325; ; 200; 150; 100; 175; ; 250; 150; ; 250; 325; ; ; 200; 325; ; 325; ; ; ; 
Rio Ave 5-1; 250; ; ; 250; 150; ; 325; 400; 100; 225; 150; 100; 175; ; ; 200; ; ; 300; ; ; ; 300; 100; 300; ; ; ; 
Boavista 5-1; 200; 125; ; 250; 150; ; 300; 425; 100; 200; 150; 100; 175; ; 200; 150; ; ; 275; ; ; ; 275; 100; 275; ; ; ; 
Rio Ave 5-0; 300; ; ; 300; 200; ; 350; 425; 100; 250; 150; 100; 175; ; ; 200; ; ; 350; ; ; ; 350; 100; 350; ; ; ; 
Boavista 5-0; 200; 125; ; 250; 150; ; 325; 475; 100; 225; 150; 100; 175; ; 250; 150; ; ; 300; ; ; ; 300; 100; 300; ; ; ; 
Boavista 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 4-3; 250; 125; 200; 150; 150; ; 350; 500; ; 200; 150; 100; 150; ; 200; 150; ; 250; 325; ; ; 200; 325; ; 325; ; ; ; 
Boavista 5-2; 400; ; ; 300; 200; ; 300; 500; ; 275; 150; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 5-3; ; ; ; ; 200; ; 350; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 5-4; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 6-0; ; ; ; 500; 200; ; 350; 500; 100; 475; 200; ; 200; ; ; 250; ; ; ; ; ; ; ; 125; ; ; ; ; 
Boavista 6-1; ; ; ; 500; 200; ; 350; 500; ; 450; 200; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 6-2; ; ; ; 500; 200; ; 225; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 6-3; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 7-0; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 7-1; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 7-2; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 8-1; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 9-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boavista 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; ; ; 250; 200; 200; ; 350; 500; ; 350; 200; ; 200; ; ; 200; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 5-2; 450; ; ; 300; 200; ; 325; 500; ; 300; 150; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 5-3; ; ; ; ; 200; ; 350; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 5-4; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 6-0; ; ; ; 500; 200; ; 225; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; 125; ; ; ; ; 
Rio Ave 6-1; ; ; ; 500; 200; ; 350; 500; ; 500; 200; ; 200; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 6-2; ; ; ; 500; 200; ; 225; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 6-3; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 7-0; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 7-1; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 7-2; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 8-1; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 9-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rio Ave 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 12:19:54 GMT+3; 2017-03-29 03:15; e70300-dr003
Uruguay; 11/8; 11/8; 29/20; 6/4; 7/5; 29/20; 7/5; 7/5; ; 11/8; ; 11/8; 7/5; 7/5; 6/4; 11/8; 23/17; ; 27/20; 23/17; 29/20; 11/8; 23/17; ; 7/5; ; 7/5; 7/5; 7/5
Peru; 2; 19/10; 2; 9/5; 19/10; 41/20; 2; 15/8; ; 19/10; ; 15/8; 39/20; 2; 19/10; 15/8; 37/19; ; 19/10; 37/19; 21/10; 2; 37/19; ; 2; ; 19/10; 19/10; 2
Draw; 12/5; 23/10; 49/20; 21/10; 12/5; 12/5; 12/5; 12/5; ; 12/5; ; 5/2; 12/5; 23/10; 5/2; 23/10; 12/5; ; 23/10; 12/5; 119/50; 40/17; 23/10; ; 40/17; ; 23/10; 23/10; 12/5
META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 16:17:52 GMT+3; ; e70300-dr003
Germany; 5; 5; 11/2; 5; 5; 9/2; 6; 6; 5; 9/2; 9/2; 11/2; ; 11/2; 5; 5; 5; 11/2; 4; 5; 11/2; 5; 4; ; 4; ; 26/5; ; 
Brazil; 7; 15/2; 7; 7; 7; 6; 7; 7; 7; 13/2; 11/2; 7; ; 8; 7; 7; 7; 7; 7; 7; 8; 7; 7; ; 7; ; 33/5; ; 
Argentina; 9; 10; 8; 9; 9; 9; 9; 9; 10; 9; 15/2; 8; ; 10; 8; 9; 9; 10; 5; 9; 9; 8; 5; ; 5; ; 9; ; 
Spain; 9; 9; 9; 9; 8; 8; 10; 9; 10; 8; 9; 9; ; 8; 9; 9; 9; 9; 7; 9; 9; 9; 7; ; 7; ; 19/2; ; 
France; 7; 8; 6; 7; 8; 15/2; 8; 7; 8; 8; 13/2; 7; ; 8; 8; 7; 15/2; 7; 11; 15/2; 8; 8; 11; ; 11; ; 34/5; ; 
Belgium; 16; 16; 16; 14; 16; 16; 14; 16; 16; 16; 16; 16; ; 18; 16; 16; 14; 16; 14; 14; 16; 16; 14; ; 14; ; 71/5; ; 
Italy; 16; 16; 16; 14; 16; 16; 16; 20; 16; 16; 20; 16; ; 16; 16; 16; 18; 12; 17; 18; 16; 16; 17; ; 17; ; 17; ; 
England; 16; 18; 20; 20; 20; 16; 16; 25; 20; 16; 18; 20; ; 25; 20; 20; 18; 20; 24; 18; 22; 18; 24; ; 20; ; 21; ; 
Portugal; 25; 28; 20; 33; 28; 20; 25; 25; 25; 20; 22; 28; ; 28; 25; 25; 22; 14; 30; 22; 25; 25; 30; ; 30; ; 28; ; 
Colombia; 25; 25; 28; 25; 25; 33; 33; 35; 25; 28; 33; 25; ; 33; 25; 25; 22; 22; 20; 22; 28; 25; 20; ; 20; ; 35; ; 
Russia; 33; 28; 28; 25; 28; 33; 40; 35; 25; 25; 28; 25; ; 33; 28; 28; 28; 16; 25; 28; 28; 28; 25; ; 25; ; 33; ; 
Netherlands; 40; 33; 20; 33; 25; 20; 33; 35; 40; 33; 33; 25; ; 33; 25; 33; 30; 20; 14; 30; 28; 25; 14; ; 14; ; 37; ; 
Uruguay; 40; 33; 40; 33; 33; 50; 40; 40; 33; 50; 33; 40; ; 50; 40; 40; 50; 22; 50; 50; 50; 40; 50; ; 44; ; 35; ; 
Chile; 50; 33; 33; 33; 33; 22; 40; 50; 40; 33; 25; 33; ; 33; 33; 40; 40; 22; 40; 40; 33; 33; 40; ; 32; ; 37; ; 
Mexico; 66; 66; 66; 80; 66; 80; 66; 75; 66; 66; 66; 66; ; 66; 66; 66; 70; 80; 80; 70; 66; 66; 80; ; 66; ; 51; ; 
Croatia; 40; 40; 40; 40; 40; 20; 40; 40; 40; 33; 40; 40; ; 40; 40; 40; 40; 25; 100; 40; 40; 50; 100; ; 100; ; 31; ; 
Switzerland; 100; 66; 66; 80; 66; 80; 50; 90; 100; 66; 66; 66; ; 66; 80; 66; 80; 100; 100; 80; 80; 80; 100; ; 100; ; 70; ; 
Ukraine; 125; 66; 80; 100; 80; 80; 100; 90; 80; 100; 100; 80; ; 80; 100; 80; 125; 100; 80; 125; 100; 100; 80; ; 80; ; 39; ; 
USA; 66; 50; 66; 66; 80; 80; 66; 75; 50; 66; 100; 80; ; 66; 80; 66; 70; 125; 100; 70; 80; 66; 100; ; 100; ; 70; ; 
Bosnia-Herzegovina; 125; 100; 150; 80; 100; 100; 150; 100; 100; 150; 200; 100; ; 100; ; 125; 125; 200; 150; 125; 125; 150; 150; ; 150; ; 47; ; 
Denmark; 150; 100; 150; 150; 125; 100; 200; 75; 150; 150; 200; 125; ; 80; 125; 150; 150; 200; 200; 150; 125; 200; 200; ; 200; ; 47; ; 
Japan; 150; 100; 200; 100; 200; 150; 150; 150; 150; 100; 100; 125; ; 150; 150; 150; 125; 150; 200; 125; 150; 200; 200; ; 200; ; 47; ; 
Poland; 100; 66; 66; 80; 66; 150; 66; 75; 100; 66; 66; 80; ; 100; 66; 66; 80; 50; 200; 80; 80; 80; 200; ; 200; ; 51; ; 
Serbia; 100; 100; 150; 100; 100; 100; 80; 90; 100; 80; 100; 100; ; 66; 100; 100; 125; 80; 200; 125; 100; 100; 200; ; 150; ; 70; ; 
Sweden; 150; 150; 100; 150; 150; 100; 125; 150; 100; 100; 150; 150; ; 80; 150; 200; 150; 100; 200; 150; 125; 200; 200; ; 200; ; 218; ; 
Austria; 150; 150; 100; 150; 150; 100; 150; 225; 150; 150; 150; 150; ; 150; 150; 150; 200; 150; 200; 200; 150; 200; 200; ; 200; ; 89; ; 
Ghana; 150; 150; 200; 150; 200; 100; 200; 125; 200; 200; 250; 150; ; 100; 150; 150; 175; 250; 200; 175; 150; 200; 200; ; 200; ; 47; ; 
Greece; 250; 150; 200; 150; 150; 250; 250; 150; 150; 200; 200; 200; ; 66; 200; 200; 200; 150; 150; 200; 200; 250; 150; ; 150; ; 47; ; 
Czech Republic; 150; 125; 100; 150; 150; 100; 250; 100; 100; 150; 100; 66; ; 66; 125; 125; 125; 150; 100; 125; 100; 100; 100; ; 100; ; 61; ; 
Ivory Coast; 150; 100; 200; 150; 150; 100; 250; 150; 150; 150; 100; 100; ; 150; 150; 150; 125; 250; 100; 125; 125; 200; 100; ; 100; ; 94; ; 
Nigeria; 150; 150; 125; 150; 250; 150; 150; 150; 150; 150; 125; 150; ; 150; 150; 150; 175; 250; 200; 175; 150; 200; 200; ; 200; ; 123; ; 
Turkey; 100; 150; 80; 150; 150; 100; 200; 125; 200; 200; 250; 125; ; 100; 150; 150; 125; 150; 100; 125; 150; 150; 100; ; 100; ; 189; ; 
Algeria; 200; 150; 150; 100; 150; 125; 200; 150; 200; 200; 250; 150; ; 150; 150; 150; 250; 250; 300; 250; 200; 250; 300; ; 150; ; 47; ; 
South Korea; 250; 250; 200; 250; 250; 200; 250; 150; 200; 200; 150; 250; ; 150; 200; 200; 300; 250; 300; 300; 250; 300; 300; ; 300; ; 47; ; 
Ecuador; 250; 250; 200; 125; 125; 150; 150; 225; 200; 200; 150; 250; ; 200; 200; 200; 225; 200; 200; 225; 250; 300; 200; ; 200; ; 208; ; 
Rep Ireland; 200; 500; 200; 250; 250; 500; 125; 150; 500; 200; 250; 250; ; 150; ; 250; 200; 250; 250; 200; 500; 500; 250; ; 250; ; 14/5; ; 
Cameroon; 400; 250; 300; 250; 500; 250; 400; 325; 300; 300; 300; 250; ; 300; 300; 250; 450; 250; 200; 450; 250; 400; 200; ; 200; ; 47; ; 
Costa Rica; 500; 500; 500; 250; 250; 500; 400; 325; 500; 300; 250; 500; ; 200; 400; ; 400; 250; 200; 400; 500; 500; 200; ; 200; ; 47; ; 
Montenegro; 250; 125; 200; 250; 250; 300; 200; 225; 200; 200; 300; 200; ; 150; 250; ; 250; 500; ; 250; 250; 300; ; ; ; ; 47; ; 
Wales; 200; 80; 150; 150; 150; 100; 150; 100; 150; 200; 200; 150; ; 100; 200; 150; 200; 80; 500; 200; 150; 150; 500; ; 200; ; 113; ; 
Hungary; ; 250; 300; 500; 250; 350; 400; 325; ; ; 500; 300; ; 300; 300; ; ; 350; 300; ; 250; 500; 300; ; 300; ; ; ; 
Morocco; 250; ; 500; 250; 500; 500; 500; ; ; ; 500; 500; ; ; ; ; 300; 250; ; 300; 500; ; ; ; ; ; ; ; 
Paraguay; 200; 200; 300; 500; 300; 250; 500; 325; 250; 250; 400; 250; ; 300; 300; 200; 150; 100; 150; 150; 200; 300; 150; ; 150; ; ; ; 
Egypt; 200; 500; 500; ; 500; 500; 750; 500; 500; ; 150; 500; ; 500; 500; ; 200; 250; ; 200; 750; 750; ; ; ; ; 47; ; 
Romania; 300; 250; 300; 250; 250; 300; 750; 125; 400; 250; 250; 250; ; 150; 300; 200; 300; 200; 400; 300; 250; 300; 400; ; 400; ; 47; ; 
Norway; 250; 300; 250; 500; 300; 150; 500; 150; 300; 500; 750; 200; ; 200; 300; 200; 250; 250; 300; 250; 250; 250; 300; ; 300; ; 522; ; 
Slovakia; 500; 200; 400; 500; 500; 300; 750; 500; 500; 250; 200; 400; ; 500; 500; ; 450; 350; 400; 450; 250; 500; 400; ; 400; ; 588; ; 
Australia; 750; 300; 500; 250; 250; 500; 500; 225; 500; 250; 300; 300; ; 300; 400; ; 600; 150; 200; 600; 500; 1000; 200; ; 200; ; 47; ; 
Senegal; 500; 500; 300; ; 500; ; 1000; 500; ; 500; 500; 500; ; 500; 500; ; 750; 1000; 200; 750; 500; 500; 200; ; 200; ; 47; ; 
Iran; 1000; 250; 250; 500; 250; 500; 250; 500; 1000; ; 500; 1000; ; 1000; 500; ; 79075; 500; 300; 1000; 1000; 388/9; 300; ; 300; ; 94; ; 
Bulgaria; 1000; 500; 500; 500; 500; 750; 500; 150; 500; 500; 500; 500; ; 250; 500; ; 1000; 250; ; 1000; 500; 1000; ; ; ; ; 237; ; 
Angola; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Armenia; ; ; 1000; ; ; ; 1000; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1000; ; ; ; ; ; ; ; 
Iceland; 250; 500; 1000; 250; 250; 500; 200; 250; ; 500; 500; ; ; 250; 500; ; 300; 500; 500; 300; 500; 500; 500; ; 300; ; ; ; 
Israel; 1000; 1000; 1000; ; 500; 1000; 1000; 500; 1000; ; ; 1000; ; 1000; ; ; 1000; 500; 500; 1000; 1000; ; 500; ; 500; ; ; ; 
Latvia; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1000; ; ; ; ; ; ; ; 
Slovenia; 500; 200; 500; 500; 250; 500; 500; 1000; 500; 500; ; 500; ; 1000; 500; ; 500; 350; 200; 500; 500; 1000; 200; ; 200; ; ; ; 
United Arab Emirates; ; ; 1000; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; ; 1000; ; ; ; ; ; ; 
Northern Ireland; 400; 1500; 1000; 750; 500; 500; 1500; 500; 1000; 750; 750; 1000; ; 500; 1000; 400; 500; 1000; 500; 500; 1000; 1500; 500; ; 500; ; 47; ; 
Scotland; 1500; 1000; 400; 1000; 1500; 1000; 1000; 500; 1000; 1500; 1500; 500; ; 500; 1000; 1000; 1000; 300; 500; 1000; 1000; 1500; 500; ; 500; ; 237; ; 
Uzbekistan; ; ; ; ; 750; ; ; ; ; ; 500; ; ; ; ; ; ; 500; ; ; ; 1500; ; ; ; ; 484; ; 
Burkina Faso; ; ; 1000; ; 1000; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 1500; ; ; 1500; ; ; ; ; ; ; ; 
FYR Macedonia; ; ; 1000; ; ; ; 1500; 500; ; ; ; ; ; 500; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 
Peru; 1000; 750; 500; ; 500; 350; 1500; 500; 500; ; 300; 500; ; 500; 500; ; 1000; 500; 500; 1000; 750; 1000; 500; ; 500; ; ; ; 
South Africa; 750; 1500; 1000; ; 1000; ; 1500; 1000; ; ; ; ; ; 1000; ; ; 1000; 1000; ; 1000; 1000; 1500; ; ; ; ; ; ; 
Venezuela; ; ; 500; ; 1500; 500; ; 325; ; ; 750; 500; ; 300; ; ; ; 500; 400; ; 750; 500; 400; ; 400; ; ; ; 
Albania; 1500; ; 500; ; 1000; ; 1000; 1000; ; ; ; ; ; 1000; ; ; 1751; 500; ; 1751; 750; ; ; ; ; ; ; ; 
Georgia; 1500; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; 1751; 1000; ; 1751; 1500; ; ; ; ; ; ; ; 
Panama; 1500; ; ; ; 1500; ; ; ; 1500; ; ; ; ; ; ; ; 1751; 1000; ; 1751; ; ; ; ; ; ; ; ; 
Belarus; ; ; 1000; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 
Bolivia; ; 2000; 500; ; 2000; 500; ; 500; ; ; 750; 500; ; 500; ; ; ; 350; 500; ; 1000; 500; 500; ; 500; ; ; ; 
China; 1000; ; 500; ; 1250; ; 2000; ; ; ; ; ; ; 750; ; ; 1250; 750; 500; 1250; 1000; 1000; 500; ; 500; ; ; ; 
Honduras; 1500; 1500; 1000; ; 2000; 1000; 1500; 500; 1000; ; ; 1000; ; 500; ; ; 1250; 500; 500; 1250; 1000; 1500; 500; ; 500; ; ; ; 
Jamaica; ; ; 1500; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; ; ; ; 1500; ; ; ; ; ; ; ; 
Lithuania; ; ; 1000; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1500; ; ; ; ; ; ; ; 
