Eastleigh; 4/7; 8/15; ; 11/20; 4/7; 8/15; 4/7; 1/2; 4/7; 6/11; 3/5; 4/7; 1/2; 4/7; ; 4/7; 8/15; 6/11; ; 8/15; 5/9; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 14/5; 3; 13/5; 31/10; 3; 3; 3; 3; 14/5; 3; 3; ; 3; 3; 3; ; 3; 29/10; 13/4; ; ; 4/9; ; 
Guiseley; 9/2; 9/2; ; 15/4; 21/5; 21/5; 9/2; 9/2; 17/4; 17/4; 17/4; 17/4; 9/2; 17/4; ; 9/2; 9/2; 17/4; ; 21/5; 22/5; 24/5; ; ; 8/15; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 00:20:10 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 11/20; 4/7; 8/15; 4/7; 1/2; 4/7; 6/11; 3/5; 4/7; 1/2; 4/7; ; 4/7; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 14/5; 3; 13/5; 31/10; 3; 3; 3; 3; 14/5; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 2/5; ; 
Guiseley; 9/2; 9/2; ; 15/4; 21/5; 21/5; 9/2; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 17/4; ; 9/2; 9/2; 17/4; ; 21/5; 9/2; 24/5; ; ; 1/2; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 04:20:14 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 11/20; 4/7; 8/15; 4/7; 1/2; 4/7; 6/11; 3/5; 4/7; 1/2; 4/7; ; 4/7; 8/15; 6/11; 6/11; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 14/5; 3; 13/5; 31/10; 3; 3; 3; 3; 14/5; 3; 3; ; 3; 3; 3; 14/5; 3; 3; 13/4; ; ; 4/9; ; 
Guiseley; 9/2; 9/2; ; 15/4; 21/5; 21/5; 9/2; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 17/4; ; 9/2; 9/2; 17/4; 4; 21/5; 9/2; 24/5; ; ; 4/7; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 08:20:07 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 11/20; 4/7; 8/15; 4/7; 8/15; 4/7; 6/11; 3/5; 4/7; 1/2; 4/7; ; 4/7; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 14/5; 3; 13/5; 31/10; 3; 3; 3; 3; 14/5; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 2/5; ; 
Guiseley; 9/2; 9/2; ; 15/4; 21/5; 21/5; 9/2; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 17/4; ; 9/2; 9/2; 17/4; ; 21/5; 9/2; 24/5; ; ; 8/15; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 12:20:50 GMT+3; 2016-08-06 15:00; e70300-dr003
