META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-26 04:22:32 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-27 04:19:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; 6/4; 13/10; 6/4; ; 8/5; ; 6/4; ; 6/4; ; ; 6/4; 29/20; ; ; 16/11; ; ; 7/5; ; ; ; 7/5; ; 7/5; ; ; ; 
Young Boys 4-2; 22; ; 22; ; 20; 20; 25; 22; 25; 22; 22; 18; 22; ; 20; ; 91/4; 25; 23; 91/4; ; 25; 23; 20; 23; ; ; ; 
Young Boys 5-1; 22; ; ; ; 20; 20; 25; 25; 25; 22; 22; 18; 25; ; 20; ; 91/4; ; 21; 91/4; ; ; 21; 22; 21; ; ; ; 
Young Boys 5-0; 25; ; ; ; 22; 20; 28; 25; 25; 22; 25; 20; 30; ; 20; ; 24; ; 23; 24; ; ; 23; 25; 23; ; ; ; 
Draw 0-0; 25; ; 28; ; 20; 25; 30; 16; 33; 28; 28; 22; 28; ; 22; ; 59/4; 31/2; 21; 59/4; ; 35; 21; ; 21; ; ; ; 
FC Vaduz 1-0; 33; ; 33; ; 28; 25; 35; 40; 33; 28; 33; 25; 30; ; 22; ; 55/2; 28; 35; 55/2; ; 31; 35; 28; 35; ; ; ; 
Young Boys 5-2; 40; ; ; ; 33; 28; 45; 40; ; 33; 40; 28; 45; ; 28; ; 149/4; ; 36; 149/4; ; ; 36; ; 36; ; ; ; 
Draw 3-3; 40; ; 33; ; 33; 40; 35; 35; 40; 33; 33; 25; 40; ; 33; ; 153/4; 50; 40; 153/4; ; 46; 40; 33; 40; ; ; ; 
FC Vaduz 3-2; 40; ; 35; ; 33; 28; 45; 40; 40; 40; 40; 28; 33; ; 28; ; 139/4; 50; 50; 139/4; ; 43; 50; 33; 50; ; ; ; 
Young Boys 6-1; 40; ; ; ; 40; 40; 50; 50; ; 40; 45; 33; 55; ; 33; ; 42; ; 40; 42; ; ; 40; ; 40; ; ; ; 
Young Boys 6-0; 40; ; ; ; 40; 50; 55; 55; 50; 40; 50; 33; 60; ; 40; ; 177/4; ; 45; 177/4; ; ; 45; 40; 45; ; ; ; 
FC Vaduz 3-1; 50; ; 50; ; 50; 50; 60; 66; 50; 50; 55; 33; 50; ; 50; ; 173/4; 66; 55; 173/4; ; 50; 55; 40; 55; ; ; ; 
FC Vaduz 2-0; 50; ; 55; ; 50; 40; 66; 75; 50; 50; 60; 40; 50; ; 50; ; 173/4; 50; 55; 173/4; ; 50; 55; 50; 55; ; ; ; 
Young Boys 6-2; 66; ; ; ; 66; 66; 75; ; ; 66; 70; 40; 80; ; 66; ; ; ; 70; ; ; ; 70; ; 70; ; ; ; 
Young Boys 5-3; 66; ; ; ; 66; 80; 90; 90; ; 80; 80; 40; 90; ; 80; ; ; ; 90; ; ; ; 90; ; 90; ; ; ; 
Young Boys 4-3; 50; ; 45; ; 50; 50; 55; 50; ; 50; 50; 33; 55; ; 50; ; 197/4; 100; 55; 197/4; ; 60; 55; ; 55; ; ; ; 
Young Boys 7-1; 80; ; ; ; 80; 80; 100; 100; ; 90; 90; 50; 100; ; 80; ; ; ; 90; ; ; ; 90; ; 90; ; ; ; 
Young Boys 7-0; 80; ; ; ; 80; 80; 100; 125; ; 90; 90; 50; 125; ; 80; ; ; ; 90; ; ; ; 90; ; 90; ; ; ; 
Young Boys 7-2; 125; ; ; ; 100; 100; 150; ; ; 125; 125; 66; 125; ; ; ; ; ; 150; ; ; ; 150; ; 150; ; ; ; 
Young Boys 6-3; 125; ; ; ; 100; 100; 150; ; ; 125; 125; 66; 150; ; 100; ; ; ; 160; ; ; ; 160; ; 160; ; ; ; 
FC Vaduz 6-2; ; ; ; ; 150; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 6-3; ; ; ; ; 150; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 7-2; ; ; ; ; 150; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 125; ; 120; ; 100; 100; 110; 150; ; 125; 100; 50; 125; ; 100; ; 85; 250; 180; 85; ; 200; 180; ; 180; ; ; ; 
FC Vaduz 3-0; 100; ; 120; ; 100; 80; 110; 200; 100; 125; 100; 66; 100; ; 80; ; 73; 250; 125; 73; ; 140; 125; 80; 125; ; ; ; 
FC Vaduz 4-1; 125; ; 150; ; 100; 100; 150; 250; 100; 150; 125; 66; 125; ; 100; ; 163/2; 250; 160; 163/2; ; 180; 160; 100; 160; ; ; ; 
FC Vaduz 4-2; 100; ; 100; ; 100; 80; 110; 150; 100; 100; 100; 50; 90; ; 80; ; 73; 250; 130; 73; ; 140; 130; 80; 130; ; ; ; 
FC Vaduz 4-3; 100; ; 95; ; 100; 80; 110; 150; ; 100; 90; 50; 100; ; 80; ; 151/2; 250; 160; 151/2; ; 150; 160; ; 160; ; ; ; 
Young Boys 8-1; 150; ; ; ; 150; 200; 175; 250; ; 175; 150; 66; 150; ; 200; ; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Young Boys 6-4; ; ; ; ; ; ; ; ; ; 275; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 5-4; 200; ; ; ; 150; 200; 175; 225; ; 175; 150; 66; 150; ; 200; ; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Young Boys 8-0; 200; ; ; ; 150; 250; 175; 325; ; 175; 150; 66; 175; ; 200; ; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Young Boys 9-1; ; ; ; ; ; ; ; ; ; 325; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 7-3; 300; ; ; ; ; ; ; ; ; 250; ; 80; ; ; ; ; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Young Boys 8-2; 300; ; ; ; ; ; ; ; ; 250; ; 80; ; ; ; ; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; ; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 8-3; ; ; ; ; ; ; ; ; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 7-4; ; ; ; ; ; ; ; ; ; 425; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 9-2; ; ; ; ; ; ; ; ; ; 425; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 4-0; ; ; 250; ; 200; ; 225; 500; 100; 275; 150; ; 175; ; ; ; ; 250; 375; ; ; 250; 375; 125; 375; ; ; ; 
FC Vaduz 5-0; ; ; ; ; 200; ; 225; 500; 100; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
FC Vaduz 5-1; ; ; ; ; 200; ; 225; 500; 100; 350; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
FC Vaduz 5-2; ; ; ; ; 150; ; 175; 500; ; 275; 150; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 5-3; ; ; ; ; 150; ; 175; 500; ; 275; 150; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 5-4; ; ; ; ; 150; ; 175; 500; ; 325; 150; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 6-0; ; ; ; ; 200; ; 225; 500; 100; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
FC Vaduz 6-1; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 7-0; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 7-1; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 8-1; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Vaduz 9-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Young Boys 9-0; ; ; ; ; 200; ; ; 500; ; 350; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-29 00:20:41 GMT+3; 2017-04-02 04:00; e70300-dr003
CF America; 13/10; ; 27/20; ; 13/10; ; 11/8; 6/5; 13/10; ; 5/4; ; 11/8; ; ; ; 13/10; 5/4; 13/10; 13/10; 27/20; ; 13/10; ; 13/10; ; 6/5; ; 
Monterrey; 9/5; ; 37/20; ; 19/10; ; 2; 15/8; 9/5; ; 7/4; ; 2; ; ; ; 19/10; 19/10; 2; 19/10; 111/50; ; 2; ; 2; ; 13/8; ; 
Draw; 21/10; ; 23/10; ; 23/10; ; 23/10; 12/5; 85/40; ; 11/5; ; 9/4; ; ; ; 11/5; 9/4; 9/4; 11/5; 49/20; ; 9/4; ; 9/4; ; 2; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-29 04:20:46 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 13/10; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; 31/20; 24/17; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 9/5; 7/4; 15/8; 9/5; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 24/13; 24/13; 7/4; 24/13; 39/20; 12/7; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 39/20; 2; 11/5; 2; 85/40; 2; 2; 2; 19/10; 15/8; 21/10; 2; 21/10; 11/5; 39/19; 2; 9/4; 39/19; 12/5; 28/13; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-29 12:22:03 GMT+3; 2017-04-12 19:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8; 41/5; 59/5
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-29 20:19:35 GMT+3; ; e70300-dr003
Hibernian; 1/33; 1/33; ; ; 1/33; ; 1/40; 1/33; 1/33; 1/40; 1/33; 1/33; 1/33; 1/33; ; 1/33; ; ; 1/33; 1/20; ; ; 1/33; ; 1/33; ; 1/33; ; 
Morton; 33; 33; ; ; 16; ; 20; 25; 16; 28; 25; 25; 25; 25; ; 25; ; ; 30; 30; ; ; 30; ; 30; ; 21; ; 
Dundee Utd; 40; 33; ; ; 16; ; 33; 25; 25; 25; 25; 33; 25; 25; ; 25; ; ; 40; 33; ; ; 40; ; 40; ; 21; ; 
Falkirk; 100; 50; ; ; 40; ; 66; 80; 50; 40; 40; 66; 40; 80; ; 80; ; ; 100; 100; ; ; 100; ; 100; ; 61; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-30 00:20:09 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 29/20; 6/4; 13/8; 6/4; 6/4; 23/17; 7/5; 6/4; 157/100; 6/4; 7/5; ; 7/5; ; ; 7/5; 
Boreham Wood; 9/5; 19/10; 37/20; 9/5; 15/8; 7/4; 15/8; 15/8; 15/8; 19/10; 9/5; 7/4; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 7/4; 24/13; 2; 24/13; 7/4; ; 7/4; ; ; 7/4; 
Draw; 23/10; 2; 2; 2; 21/10; 2; 85/40; 2; 2; 2; 2; 19/10; 21/10; 2; 2; 11/5; 21/10; 2; 9/4; 21/10; 23/10; 21/10; 9/4; ; 9/4; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-30 04:20:17 GMT+3; 2017-06-11 20:45; e70300-dr003
Croatia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; 19/20; ; ; 23/20; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; 
Iceland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 11/4; ; ; 141/50; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-30 12:21:11 GMT+3; ; e70300-dr003
Real Madrid; 1/3; 1/3; 3/10; 4/11; ; 1/3; 1/3; 4/11; 4/11; ; ; 1/3; 3/10; 4/11; 1/3; 1/3; 3/10; 1/3; ; 3/10; 31/100; 3/10; 1/3; ; 1/3; ; 4/11; ; 
Barcelona; 9/4; 9/4; 21/10; 2; ; 11/5; 9/4; 2; 2; ; ; 9/4; 9/4; 2; 2; 2; 21/10; 9/4; ; 21/10; 51/25; 11/5; 9/4; ; 9/4; ; 23/10; ; 
Sevilla; 150; 100; 175; 50; ; 40; ; 50; 100; ; ; 80; 50; 66; 50; 50; 60; 100; ; 60; 70; 40; 150; ; 150; ; 51; ; 
Atletico Madrid; 250; 250; 250; 66; ; 200; 100; 66; 100; ; ; 150; 100; 66; 150; 150; 200; 250; ; 200; 50; 250; 250; ; 250; ; 180; ; 
Betis; ; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Malaga; ; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leganes; ; ; ; ; ; ; ; ; ; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gijon; ; ; ; ; ; ; ; ; ; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Real Sociedad; 3000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 700; ; 2500; ; 2500; ; 949; ; 
Villarreal; 3000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 650; ; 2500; ; 2500; ; 949; ; 
Alaves; 4500; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; 949; ; 
Athletic Bilbao; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 1000; ; 3000; ; 3000; ; 949; ; 
Celta Vigo; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; 949; ; 
Deportiva Las Palmas; 4500; ; ; ; ; ; ; ; ; 750; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 949; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; 1250; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Eibar; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; 949; ; 
Espanyol; 4500; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; 949; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-30 16:20:22 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 8/5; 31/20; 6/4; 29/20; 6/4; 13/8; 6/4; 17/11; 23/17; 7/5; 17/11; 83/50; 6/4; 31/21; ; 31/21; ; ; 7/5; 
Boreham Wood; 9/5; 15/8; 37/20; 9/5; 15/8; 7/4; 15/8; 15/8; 15/8; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 17/10; 9/5; 193/100; 24/13; 17/10; ; 17/10; ; ; 17/10; 
Draw; 23/10; 2; 2; 2; 21/10; 2; 85/40; 2; 2; 2; 2; 15/8; 21/10; 2; 2; 11/5; 21/10; 2; 21/10; 21/10; 56/25; 21/10; 28/13; ; 28/13; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 00:20:05 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 8/5; 31/20; 6/4; 29/20; 8/5; 13/8; 6/4; 17/11; 23/17; 7/5; 17/11; 83/50; 6/4; 31/21; ; 31/21; ; ; 7/5; 
Boreham Wood; 9/5; 15/8; 37/20; 9/5; 15/8; 7/4; 15/8; 15/8; 15/8; 9/5; 2; 9/5; 15/8; 15/8; 9/5; 15/8; 9/5; 24/13; 17/10; 9/5; 193/100; 24/13; 17/10; ; 17/10; ; ; 7/4; 
Draw; 23/10; 2; 2; 2; 21/10; 2; 85/40; 2; 2; 2; 2; 15/8; 21/10; 2; 2; 11/5; 21/10; 2; 21/10; 21/10; 56/25; 21/10; 28/13; ; 28/13; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 00:22:04 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 8/5; 31/20; 6/4; 29/20; 8/5; 13/8; 6/4; 17/11; 23/17; 7/5; 17/11; 83/50; 6/4; 31/21; ; 31/21; ; ; 7/5; 
Boreham Wood; 9/5; 15/8; 37/20; 9/5; 15/8; 7/4; 15/8; 15/8; 15/8; 9/5; 2; 9/5; 15/8; 15/8; 9/5; 15/8; 9/5; 24/13; 17/10; 9/5; 193/100; 24/13; 17/10; ; 17/10; ; ; 7/4; 
Draw; 23/10; 2; 2; 2; 21/10; 2; 85/40; 2; 2; 2; 2; 15/8; 21/10; 2; 2; 11/5; 21/10; 2; 21/10; 21/10; 56/25; 21/10; 28/13; ; 28/13; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 04:20:49 GMT+3; ; e70300-dr003
20-30%; ; ; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
20 01 to 30%; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
