META; english/league-1/oxford-v-sheffield-utd; 2017-03-06 22:21:31 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 1; 1; 1; 19/20; 1; 10/11; 1; 19/20; 1; 1; 1; 1; 19/20; 21/20; 1; 1; 1; 19/20; 10/11; 1; 21/20; 66/67; 13/14; 1; ; 20/21; 20/21; 1
Draw; 13/5; 12/5; 47/20; 12/5; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 27/11; 12/5; 23/10; 27/11; 51/20; 5/2; 40/17; 5/2; ; 12/5; 12/5; 5/2
Oxford ; 3; 14/5; 14/5; 3; 11/4; 13/5; 11/4; 11/4; 3; 13/5; 11/4; 11/4; 57/20; 29/10; 11/4; 14/5; 27/10; 11/4; 3; 27/10; 29/10; 28/11; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 02:21:55 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 21/20; 1; 11/10; 19/20; 21/20; 19/20; 11/10; 11/10; 21/20; 1; 21/20; 1; 1; 11/10; 1; 21/20; 1; 19/20; 20/21; 1; 21/20; 42/41; 28/29; 21/20; ; 1; 1; 21/20
Draw; 5/2; 12/5; 49/20; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 27/11; 12/5; 23/10; 27/11; 51/20; 27/11; 40/17; 12/5; ; 12/5; 12/5; 5/2
Oxford ; 29/10; 14/5; 14/5; 3; 11/4; 5/2; 27/10; 5/2; 14/5; 13/5; 11/4; 13/5; 27/10; 29/10; 11/4; 14/5; 45/17; 11/4; 14/5; 45/17; 29/10; 5/2; 56/19; 13/5; ; 14/5; 14/5; 11/4
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 06:20:28 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 21/20; 21/20; 11/10; 21/20; 21/20; 19/20; 11/10; 11/10; 21/20; 1; 1; 1; 1; 11/10; 1; 21/20; 1; 19/20; 20/21; 1; 21/20; 42/41; 28/29; 21/20; ; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 51/20; 5/2; 40/17; 12/5; ; 12/5; 12/5; 5/2
Oxford ; 29/10; 13/5; 14/5; 13/5; 11/4; 5/2; 13/5; 5/2; 14/5; 13/5; 27/10; 13/5; 27/10; 29/10; 11/4; 27/10; 45/17; 11/4; 14/5; 45/17; 29/10; 27/11; 56/19; 13/5; ; 14/5; 14/5; 11/4
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 10:20:31 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; 1; 21/20; 21/20; 19/20; 1; 21/20; 21/20; 21/20; 42/41; 21/20; ; 1; 1; 21/20
Draw; 5/2; 12/5; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 51/20; 5/2; 27/11; 12/5; ; 12/5; 12/5; 5/2
