META; english/league-1/peterborough-v-southend; 2017-02-18 14:25:14 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 18:22:16 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 22:22:26 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; ; ; 5/4; 5/4; ; 5/4; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
Draw; 12/5; 12/5; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 49/20; 5/2; 12/5; 23/10; 40/17; 9/4; 23/10; 40/17; 5/2; 12/5; 40/17; 23/10; ; 23/10; 23/10; 12/5
META; english/league-1/peterborough-v-southend; 2017-02-21 06:20:45 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 17/10; 6/4; 6/4; 13/8; 8/5; 6/4; 13/8; 6/4; 8/5; ; 31/20; 31/20; 8/5; 13/8; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 33/20; 8/5; 6/4; 8/5; ; 13/8; 6/4; 8/5
Southend ; 7/4; 7/4; 7/4; 9/5; 7/4; 13/8; 7/4; 9/5; 7/4; ; 7/4; 13/8; 33/20; 9/5; 17/10; 9/5; 17/10; 7/4; 17/10; 17/10; 7/4; 17/10; 17/10; 9/5; ; 17/10; 7/4; 7/4
Draw; 12/5; 12/5; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 12/5; ; 23/10; 5/2; 49/20; 5/2; 12/5; 23/10; 40/17; 9/4; 23/10; 40/17; 5/2; 12/5; 40/17; 23/10; ; 23/10; 23/10; 12/5
META; english/league-1/peterborough-v-southend; 2017-02-21 10:21:15 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 31/20; 6/4; 6/4; 13/8; 8/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 8/5; 17/11; 6/4; 6/4; ; 6/4; 6/4; 6/4
Southend ; 15/8; 7/4; 7/4; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 7/4; 7/4; 17/10; 7/4; 181/100; 7/4; 17/10; 15/8; ; 9/5; 9/5; 15/8
Draw; 5/2; 12/5; 12/5; 21/10; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 49/20; 5/2; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; ; 23/10; 12/5; 12/5
META; english/league-1/peterborough-v-southend; 2017-02-21 14:22:12 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
