META; english/league-1/northampton-v-port-vale; 2017-03-11 18:20:31 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Northampton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-11 22:21:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/11; 7/10; ; 8/11; 4/5; ; 4/5; ; 5/6; ; 4/5; ; 4/5; 3/4; ; 4/5; 4/5; ; ; 4/5; ; ; ; ; ; 4/6; ; 
Port Vale; 19/4; 4; 4; 19/5; 9/2; 4; 4; 4; 17/4; 15/4; 4; 15/4; 4; 9/2; 17/4; 4; 9/2; ; 23/5; 9/2; 22/5; 37/10; 19/4; 9/2; ; 9/2; 21/5; 
META; english/league-1/northampton-v-port-vale; 2017-03-13 10:19:57 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 4/6; 8/13; 4/6; 7/10; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 4/6; 4/6; 4/6; 11/17; 4/7; 11/17; 18/25; 19/29; 5/8; 4/6; ; 4/6; 4/6; 
Draw; 3; 11/4; 11/4; 14/5; 11/4; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 11/4; 14/5; 11/4; 14/5; 13/5; 11/4; 57/20; 37/13; 45/17; 13/5; ; 14/5; 13/5; 
Port Vale; 19/4; 4; 4; 19/5; 9/2; 19/5; 4; 4; 17/4; 15/4; 4; 4; 4; 9/2; 17/4; 4; 54/13; 4; 23/5; 21/5; 22/5; 19/5; 19/4; 17/4; ; 9/2; 4; 
META; english/league-1/northampton-v-port-vale; 2017-03-13 14:21:28 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 7/10; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 7/10; 13/20; 7/10; 4/6; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 7/10; 9/13; 7/10; ; 4/6; 4/6; 4/6
Draw; 29/10; 11/4; 11/4; 5/2; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 57/20; 14/5; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 61/20; 11/4; 27/10; 11/4; ; 14/5; 13/5; 11/4
Port Vale; 9/2; 4; 4; 9/2; 4; 19/5; 4; 4; 17/4; 4; 4; 4; 4; 9/2; 17/4; 4; 41/10; 4; 7/2; 41/10; 41/10; 18/5; 39/10; 17/4; ; 7/2; 4; 21/5
META; english/league-1/northampton-v-port-vale; 2017-03-13 18:22:43 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 4/5; 3/4; 3/4; 4/6; 4/5; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 3/4; 3/4; 8/11; 5/7; 11/17; 4/6; 5/7; 18/25; 4/5; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 13/5; 14/5; 11/4; 13/5; 5/2; 11/4; 11/4; 14/5; 13/5; 27/10; 14/5; 59/20; 14/5; 11/4; 27/10; 45/17; 14/5; 27/10; 45/17; 61/20; 13/5; 27/10; 13/5; 27/10; ; 5/2; 5/2; 5/2
Port Vale; 17/4; 18/5; 19/5; 7/2; 4; 18/5; 15/4; 4; 7/2; 15/4; 15/4; 7/2; 10/3; 4; 7/2; 4; 39/10; 4; 7/2; 39/10; 41/10; 16/5; 39/10; 4; 39/10; ; 7/2; 7/2; 7/2
META; english/league-1/northampton-v-port-vale; 2017-03-13 22:20:39 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 4/5; 3/4; 8/11; 4/6; 4/5; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 4/5; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 83/100; 4/5; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 14/5; 11/4; 11/4; 5/2; 11/4; 11/4; 14/5; 13/5; 27/10; 14/5; 59/20; 29/10; 11/4; 27/10; 45/17; 13/5; 27/10; 45/17; 72/25; 13/5; 27/10; 13/5; 27/10; ; 13/5; 5/2; 14/5
Port Vale; 17/4; 18/5; 19/5; 7/2; 4; 18/5; 15/4; 4; 7/2; 15/4; 15/4; 7/2; 10/3; 4; 7/2; 4; 39/10; 15/4; 7/2; 39/10; 7/2; 16/5; 39/10; 4; 39/10; ; 7/2; 7/2; 4
META; english/league-1/northampton-v-port-vale; 2017-03-14 02:22:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 3/4; 3/4; 8/11; 4/6; 4/5; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 4/5; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 83/100; 4/5; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 14/5; 11/4; 11/4; 5/2; 11/4; 11/4; 14/5; 13/5; 27/10; 13/5; 59/20; 14/5; 11/4; 27/10; 45/17; 13/5; 27/10; 45/17; 72/25; 13/5; 27/10; 13/5; 27/10; ; 11/4; 13/5; 14/5
Port Vale; 17/4; 18/5; 4; 7/2; 4; 18/5; 15/4; 4; 7/2; 15/4; 15/4; 7/2; 10/3; 4; 7/2; 4; 75/19; 15/4; 7/2; 75/19; 7/2; 16/5; 39/10; 4; 39/10; ; 7/2; 7/2; 4
META; english/league-1/northampton-v-port-vale; 2017-03-14 06:20:05 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 4/5; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 4/5; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 41/50; 4/5; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 14/5; 11/4; 11/4; 5/2; 11/4; 11/4; 14/5; 13/5; 27/10; 13/5; 59/20; 14/5; 11/4; 27/10; 45/17; 13/5; 27/10; 45/17; 29/10; 13/5; 27/10; 13/5; 27/10; ; 11/4; 11/4; 14/5
Port Vale; 17/4; 18/5; 4; 7/2; 19/5; 18/5; 15/4; 4; 7/2; 15/4; 15/4; 7/2; 10/3; 4; 7/2; 4; 75/19; 15/4; 7/2; 75/19; 7/2; 16/5; 39/10; 4; 39/10; ; 7/2; 7/2; 4
META; english/league-1/northampton-v-port-vale; 2017-03-14 10:20:35 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 3/4; 3/4; 8/11; 4/6; 3/4; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 4/5; 3/4; 8/11; 9/13; 13/18; 4/6; 9/13; 81/100; 3/4; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 14/5; 11/4; 11/4; 5/2; 11/4; 11/4; 14/5; 13/5; 27/10; 5/2; 59/20; 14/5; 11/4; 27/10; 27/10; 13/5; 27/10; 27/10; 59/20; 27/10; 27/10; 13/5; 27/10; ; 11/4; 11/4; 14/5
Port Vale; 17/4; 18/5; 4; 7/2; 4; 18/5; 19/5; 4; 7/2; 15/4; 15/4; 4; 10/3; 4; 7/2; 4; 75/19; 15/4; 7/2; 75/19; 7/2; 38/11; 39/10; 4; 39/10; ; 7/2; 7/2; 4
META; english/league-1/northampton-v-port-vale; 2017-03-14 14:22:38 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 3/4; 4/6; 8/11; 8/11; 3/4; 8/11; 3/4; 3/4; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 19/25; 14/19; 9/13; 3/4; 9/13; ; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 29/10; 11/4; 11/4; 13/5; 14/5; 11/4; 14/5; 14/5; 11/4; 11/4; 11/4; 29/10; 11/4; 14/5; 11/4; 13/5; 27/10; 11/4; 59/20; 27/10; 27/10; 11/4; 27/10; ; 14/5; 14/5; 14/5
Port Vale; 17/4; 18/5; 19/5; 7/2; 19/5; 7/2; 15/4; 4; 7/2; 7/2; 7/2; 15/4; 7/2; 4; 7/2; 4; 15/4; 15/4; 7/2; 15/4; 39/10; 38/11; 39/10; 15/4; 39/10; ; 7/2; 7/2; 7/2
META; english/league-1/northampton-v-port-vale; 2017-03-14 18:20:10 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 3/4; 8/11; 3/4; 3/4; 8/11; 4/6; 7/10; 4/6; 8/11; 7/10; 7/10; 7/10; 3/4; 8/11; 3/4; 8/11; 9/13; 13/18; 4/6; 9/13; 3/4; 13/18; 9/13; 8/11; 9/13; ; 8/11; 8/11; 8/11
Draw; 29/10; 14/5; 29/10; 11/4; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 11/4; 14/5; 11/4; 13/5; 27/10; 11/4; 3; 27/10; 27/10; 11/4; 27/10; ; 14/5; 14/5; 14/5
Port Vale; 4; 18/5; 4; 7/2; 19/5; 18/5; 4; 4; 7/2; 15/4; 15/4; 7/2; 7/2; 4; 7/2; 4; 15/4; 15/4; 7/2; 15/4; 39/10; 39/11; 39/10; 4; 39/10; ; 7/2; 7/2; 7/2
META; english/league-1/northampton-v-port-vale; 2017-03-14 22:20:04 GMT+2; 2017-03-14 19:45; In Play; Xlenovo
Northampton; 10/11; 10/11; ; ; ; 5/6; 20/23; 10/11; ; 17/20; ; 7/10; 17/20; ; ; ; 13/19; 9/10; ; 13/19; ; ; 13/19; ; 13/19; ; 8/11; ; 5/6
Draw; 21/10; 2; ; ; ; 21/10; 11/5; 15/8; ; 19/10; ; 5/2; 2; ; ; ; 11/4; 9/5; ; 11/4; ; ; 13/5; ; 13/5; ; 14/5; 27/10; 21/10
Port Vale; 15/4; 10/3; ; ; ; 7/2; 18/5; 7/2; ; 7/2; ; 3; 4; ; ; ; 18/5; 18/5; ; 18/5; ; ; 37/10; ; 37/10; ; 7/2; 10/3; 
