META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 14:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 18:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 22:20:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 10/11; ; ; 1; ; 1; 10/11; ; ; ; ; ; 1; ; 19/20; 1; ; 1; 1; ; ; 1; ; 1; ; 8/11; ; 
Oldham; 16/5; 3; 31/10; 11/4; 16/5; 14/5; 31/10; 5/2; 3; 3; 29/10; 3; 3; 16/5; 14/5; 3; 3; 3; 3; 3; 31/10; 11/4; 3; 14/5; 3; ; 14/5; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-16 18:20:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 19/20; 19/20; 19/20; 19/20; 9/10; 20/21; 5/6; 10/11; 20/21; 10/11; 20/21; 10/11; 1; 19/20; 19/20; 19/20; 9/10; 10/11; 19/20; 97/100; 1; 13/14; 1; 13/14; ; 20/21; 10/11; 20/21
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 11/5; 23/10; 47/20; 13/5; 5/2; 12/5; 40/17; 12/5; 23/10; 40/17; 66/25; 12/5; 40/17; 12/5; 40/17; ; 23/10; 9/4; 23/10
Oldham; 16/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 3; 29/10; 3; 3; 16/5; 14/5; 31/10; 3; 3; 3; 3; 31/10; 13/5; 3; 3; 3; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-16 22:20:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 19/20; 19/20; 19/20; 19/20; 9/10; 20/21; 5/6; 10/11; 20/21; 19/20; 20/21; 10/11; 1; 19/20; 19/20; 19/20; 9/10; 10/11; ; 97/100; 22/23; 13/14; 19/20; 13/14; ; 20/21; 10/11; 20/21
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 47/20; 13/5; 5/2; 12/5; 40/17; 12/5; 23/10; ; 66/25; 12/5; 40/17; 12/5; 40/17; ; 23/10; 9/4; 23/10
Oldham; 16/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 31/10; 3; 3; 3; ; 31/10; 11/4; 3; 3; 3; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-17 02:20:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
