META; english/league-1/coventry-v-southend; 2017-03-11 18:20:29 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Coventry; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/coventry-v-southend; 2017-03-11 22:21:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 11/8; 13/10; ; 13/10; 7/5; ; 7/5; ; 7/5; ; 27/20; ; 11/8; 11/8; ; 7/5; 7/5; ; ; 7/5; ; ; ; ; ; 5/4; ; 
META; english/league-1/coventry-v-southend; 2017-03-14 10:20:29 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 121/100; 6/5; 13/11; 5/4; 13/11; ; 5/4; 6/5; 6/5
Coventry; 23/10; 9/4; 12/5; 11/5; 23/10; 21/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 123/50; 21/10; 9/4; 9/4; 9/4; ; 11/5; 9/4; 23/10
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 9/4; 47/20; 5/2; 23/10; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 12/5; 12/5; 5/2
META; english/league-1/coventry-v-southend; 2017-03-14 14:22:31 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 13/10; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 6/5; 6/5; 23/20; 5/4; 129/100; 16/13; 13/11; 5/4; 13/11; ; 5/4; 5/4; 13/10
Coventry; 23/10; 9/4; 47/20; 11/5; 9/4; 41/20; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 12/5; 21/10; 23/10; 28/13; 9/4; 9/4; 28/13; 23/10; 2; 9/4; 11/5; 9/4; ; 21/10; 11/5; 23/10
Draw; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 47/20; 12/5; 12/5; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 27/11; 40/17; 23/10; 40/17; ; 12/5; 12/5; 5/2
META; english/league-1/coventry-v-southend; 2017-03-14 18:20:05 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 13/10; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 23/20; 6/5; 131/100; 17/14; 13/11; 13/10; 13/11; ; 5/4; 6/5; 5/4
Coventry; 23/10; 9/4; 47/20; 11/5; 23/10; 21/10; 9/4; 23/10; 23/10; 9/4; 11/5; 9/4; 11/5; 12/5; 21/10; 23/10; 11/5; 9/4; 9/4; 11/5; 47/20; 28/13; 9/4; 11/5; 9/4; ; 11/5; 21/10; 9/4
Draw; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 9/4; 23/10; 23/10; 47/20; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 12/5; 40/17; 40/17; 23/10; 40/17; ; 12/5; 23/10; 12/5
META; english/league-1/coventry-v-southend; 2017-03-14 22:20:00 GMT+2; 2017-03-14 19:45; In Play; Xlenovo
Southend; 1/14; 1/16; ; ; 6/5; 1/18; 1/14; 1/20; ; 1/12; ; 2/5; 1/16; ; ; ; 6/5; 1/19; ; ; ; ; 15/13; ; 15/13; ; 5/4; ; 1/9
Draw; 10; 12; ; ; 12/5; 8; 19/2; 9; ; 10; ; 16/5; 9; ; ; ; 23/10; 33/4; ; ; ; ; 23/10; ; 23/10; ; 23/10; ; 49/5
Coventry; 25; 50; ; ; 11/5; 25; 25; 25; ; 21/10; ; 11/2; 33; ; ; ; 21/10; 22; ; ; ; ; 11/5; ; 11/5; ; 21/10; ; 
