META; english/league-1/port-vale-v-mk-dons; 2017-03-21 18:21:00 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Draw; 5/2; 13/5; 12/5; 12/5; 5/2; ; 13/5; 13/5; ; ; 23/10; 5/2; 51/20; 5/2; ; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; ; 5/2; ; 5/2; ; 23/10; 19/10; 
Port Vale; 13/5; 14/5; 27/10; 5/2; 11/4; ; 29/10; 13/5; ; ; 13/5; 11/4; 14/5; 27/10; ; 11/4; 27/10; 13/5; 11/4; 27/10; 72/25; ; 11/4; ; 11/4; ; 12/5; 21/10; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-23 18:23:12 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 10/11; 1; 10/11; 1; ; 20/21; 10/11; ; ; 19/20; 20/21; 10/11; 21/20; ; 1; 1; 1; 20/21; 1; 26/25; ; 19/20; ; 19/20; ; 20/21; 5/6; 
Draw; 5/2; 13/5; 12/5; 12/5; 5/2; ; 13/5; 13/5; ; ; 23/10; 5/2; 51/20; 13/5; ; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; ; 5/2; ; 5/2; ; 23/10; 2; 
Port Vale; 13/5; 14/5; 27/10; 5/2; 11/4; ; 14/5; 13/5; ; ; 13/5; 11/4; 14/5; 14/5; ; 11/4; 27/10; 13/5; 11/4; 27/10; 72/25; ; 11/4; ; 11/4; ; 5/2; 11/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-23 22:21:34 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 19/20; 10/11; 1; 10/11; 1; ; 1; 10/11; ; 20/21; 19/20; 1; 19/20; 1; ; 19/20; 1; 1; 20/21; 1; 26/25; ; 19/20; ; 19/20; ; 20/21; 20/21; 
Draw; 5/2; 13/5; 47/20; 12/5; 5/2; ; 13/5; 12/5; ; 12/5; 9/4; 12/5; 51/20; 13/5; ; 13/5; 27/11; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; 5/2; ; 12/5; 12/5; 
Port Vale; 14/5; 14/5; 14/5; 5/2; 11/4; ; 11/4; 11/4; ; 14/5; 27/10; 14/5; 14/5; 3; ; 14/5; 27/10; 13/5; 11/4; 27/10; 57/20; ; 11/4; ; 11/4; ; 14/5; 11/4; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 02:22:55 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 19/20; 10/11; 1; 10/11; 1; ; 1; 10/11; ; 20/21; 19/20; 1; 19/20; 1; ; 19/20; 1; 1; 20/21; 1; 49/50; ; 19/20; ; 19/20; ; 20/21; 20/21; 
Draw; 5/2; 5/2; 47/20; 12/5; 12/5; ; 5/2; 12/5; ; 12/5; 9/4; 12/5; 51/20; 13/5; ; 5/2; 27/11; 12/5; 5/2; 27/11; 131/50; ; 5/2; ; 5/2; ; 12/5; 12/5; 
Port Vale; 14/5; 3; 14/5; 5/2; 3; ; 14/5; 11/4; ; 14/5; 27/10; 14/5; 14/5; 3; ; 29/10; 27/10; 13/5; 11/4; 27/10; 31/10; ; 11/4; ; 11/4; ; 27/10; 11/4; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 06:20:38 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 19/20; 10/11; 1; 10/11; 1; ; 1; 10/11; ; 20/21; 19/20; 1; 19/20; 1; ; 19/20; 1; 1; 20/21; 1; 49/50; ; 19/20; ; 19/20; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 12/5; 5/2; ; 5/2; 12/5; ; 12/5; 9/4; 12/5; 51/20; 13/5; ; 5/2; 27/11; 12/5; 5/2; 27/11; 131/50; ; 5/2; ; 5/2; ; 12/5; 12/5; 
Port Vale; 14/5; 3; 14/5; 5/2; 11/4; ; 14/5; 11/4; ; 14/5; 27/10; 14/5; 14/5; 3; ; 29/10; 27/10; 13/5; 11/4; 27/10; 31/10; ; 11/4; ; 11/4; ; 27/10; 11/4; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 10:21:11 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 21/20; 10/11; 1; 10/11; 1; ; 1; 10/11; ; 20/21; 19/20; 1; 1; 21/20; ; 1; 1; 1; 20/21; 1; 49/50; ; 39/40; ; 39/40; ; 1; 20/21; 
Draw; 13/5; 5/2; 47/20; 12/5; 5/2; ; 13/5; 12/5; ; 12/5; 9/4; 12/5; 5/2; 13/5; ; 5/2; 27/11; 12/5; 12/5; 27/11; 131/50; ; 27/11; ; 27/11; ; 12/5; 23/10; 
Port Vale; 14/5; 3; 14/5; 5/2; 11/4; ; 11/4; 11/4; ; 14/5; 27/10; 14/5; 11/4; 14/5; ; 14/5; 27/10; 13/5; 27/10; 27/10; 31/10; ; 27/10; ; 27/10; ; 14/5; 11/4; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 14:21:30 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 21/20; 19/20; 1; 1; 1; 10/11; 20/21; 10/11; 1; 20/21; 19/20; 20/21; 1; 1; 19/20; 1; 19/20; 1; 20/21; ; 49/50; ; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 13/5; 12/5; 47/20; 12/5; 5/2; 23/10; 13/5; 12/5; 5/2; 12/5; 9/4; 12/5; 5/2; 27/10; 5/2; 5/2; 12/5; 12/5; 12/5; ; 131/50; ; 27/11; ; 27/11; ; 5/2; 12/5; 
Port Vale; 14/5; 14/5; 29/10; 11/4; 11/4; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 29/10; 14/5; 14/5; 14/5; 13/5; 27/10; ; 31/10; ; 27/10; ; 27/10; ; 11/4; 13/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 18:24:16 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 10/11; 1; 20/21; 19/20; 20/21; 1; 1; 19/20; 19/20; 19/20; 19/20; 20/21; 19/20; 49/50; 1; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 27/10; 12/5; 47/20; 12/5; 5/2; 12/5; 27/10; 12/5; 5/2; 12/5; 9/4; 12/5; 5/2; 11/4; 5/2; 5/2; 27/11; 5/2; 12/5; 27/11; 131/50; 5/2; 27/11; ; 27/11; ; 5/2; 5/2; 
Port Vale; 29/10; 14/5; 29/10; 11/4; 3; 13/5; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 14/5; 27/10; 27/10; 14/5; 31/10; 5/2; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-24 22:22:48 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 10/11; 1; 20/21; 19/20; 20/21; 1; 1; 19/20; 19/20; 19/20; 19/20; 20/21; 19/20; 49/50; 39/40; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 27/10; 12/5; 47/20; 12/5; 5/2; 12/5; 27/10; 12/5; 5/2; 12/5; 9/4; 12/5; 5/2; 11/4; 5/2; 5/2; 27/11; 5/2; 12/5; 27/11; 131/50; 5/2; 27/11; ; 27/11; ; 5/2; 5/2; 
Port Vale; 29/10; 14/5; 29/10; 11/4; 3; 13/5; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 14/5; 27/10; 27/10; 14/5; 61/20; 13/5; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-25 02:24:08 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 19/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 10/11; 20/21; 1; 1; 19/20; 19/20; 19/20; 19/20; 20/21; 19/20; 49/50; 39/40; 39/40; ; 39/40; ; 1; 20/21; 
Draw; 27/10; 12/5; 47/20; 12/5; 12/5; 12/5; 27/10; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 11/4; 5/2; 5/2; 27/11; 5/2; 12/5; 27/11; 131/50; 5/2; 27/11; ; 27/11; ; 5/2; 5/2; 
Port Vale; 29/10; 3; 29/10; 11/4; 3; 13/5; 29/10; 27/10; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 14/5; 27/10; 27/10; 14/5; 61/20; 13/5; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-25 06:23:36 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 19/20; 1; 19/20; 10/11; 20/21; 1; 1; 20/21; 10/11; 20/21; 1; 1; 19/20; 19/20; 19/20; 19/20; 20/21; 19/20; 49/50; 39/40; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 27/10; 12/5; 47/20; 12/5; 5/2; 12/5; 27/10; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 11/4; 5/2; 5/2; 27/11; 5/2; 12/5; 27/11; 131/50; 5/2; 27/11; ; 27/11; ; 13/5; 5/2; 
Port Vale; 29/10; 3; 29/10; 11/4; 3; 13/5; 29/10; 27/10; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 14/5; 27/10; 27/10; 14/5; 61/20; 13/5; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-25 10:24:01 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 1; 1; 19/20; 10/11; 1; 1; 1; 20/21; 19/20; 20/21; 19/20; 1; 19/20; 1; 19/20; 19/20; 20/21; 19/20; 49/50; 28/29; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 27/10; 12/5; 23/10; 12/5; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 11/5; 12/5; 5/2; 11/4; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 133/50; 5/2; 27/11; ; 27/11; ; 13/5; 5/2; 
Port Vale; 29/10; 3; 29/10; 11/4; 3; 27/10; 29/10; 27/10; 14/5; 14/5; 14/5; 14/5; 59/20; 3; 14/5; 29/10; 37/13; 27/10; 27/10; 37/13; 3; 13/5; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-25 14:21:05 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
MK Dons; 1; 19/20; 1; 1; 19/20; 17/20; 37/40; 1; 1; 10/11; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 10/11; 19/20; 20/21; 10/11; 1; 19/20; 39/40; ; 39/40; ; 20/21; 20/21; 
Draw; 27/10; 12/5; 49/20; 12/5; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 9/4; 12/5; 5/2; 11/4; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 13/5; 5/2; 27/11; ; 27/11; ; 5/2; 5/2; 
Port Vale; 29/10; 3; 16/5; 11/4; 3; 11/4; 31/10; 27/10; 14/5; 3; 3; 3; 3; 3; 14/5; 29/10; 56/19; 11/4; 27/10; 56/19; 61/20; 45/17; 27/10; ; 27/10; ; 14/5; 14/5; 
META; english/league-1/port-vale-v-mk-dons; 2017-03-25 18:24:39 GMT+2; 2017-03-25 15:00; In Play; Xlenovo
MK Dons; 8/5; 13/8; 21/20; 7/5; 1; 6/4; 6/4; 2; ; 13/8; 6/4; ; 8/5; 21/20; ; ; 13/10; 28/17; ; 6/5; ; ; ; ; 8/7; ; ; 6/4; 1
Draw; 6/4; 1; 11/5; 11/8; 12/5; 23/20; 11/10; 5/6; ; 20/21; 11/10; ; 1; 13/5; ; ; 8/5; 10/11; ; 9/5; ; ; ; ; 7/4; ; ; 5/4; 12/5
Port Vale; 10/3; 4; 11/4; 7/2; 11/4; 4; 21/5; 7/2; ; 4; 19/5; ; 9/2; 3; ; ; 56/19; 16/5; ; 27/10; ; ; ; ; 56/19; ; ; 7/2; 14/5
