META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 04:21:17 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; ; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; 11/8; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 2; ; ; 2; ; 21/10; ; ; ; ; 2; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 08:21:29 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; ; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; 11/8; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 2; ; ; 2; ; 21/10; ; ; ; ; 2; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 12:23:23 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; ; 11/8; ; 11/8; ; 13/10; 13/10; ; 11/8; ; ; ; ; 11/8; ; 13/10; ; 13/10; ; 16/11; ; ; ; ; ; 
Shrewsbury; 12/5; 21/10; 43/20; 11/5; 11/5; 39/20; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 15/8; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/5; 11/5; 11/5; 26/11; 39/19; 11/5; ; 21/10; 19/10; 23/10
Draw; 9/4; 12/5; 47/20; 23/10; 23/10; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-15 04:21:25 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 23/20; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 19/16; 5/4; ; 6/5; 6/5; 6/5
Shrewsbury; 12/5; 21/10; 43/20; 11/5; 11/5; 39/20; 21/10; 21/10; 11/5; 11/5; 21/10; 21/10; 15/8; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/5; 11/5; 11/5; 26/11; 39/19; 11/5; ; 21/10; 19/10; 23/10
Draw; 9/4; 12/5; 47/20; 23/10; 23/10; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 49/20; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-15 08:21:00 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 23/20; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 19/16; 5/4; ; 6/5; 6/5; 6/5
Shrewsbury; 12/5; 21/10; 43/20; 11/5; 11/5; 39/20; 21/10; 21/10; 11/5; 11/5; 21/10; 2; 15/8; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/5; 11/5; 11/5; 26/11; 39/19; 11/5; ; 21/10; 19/10; 23/10
Draw; 9/4; 12/5; 47/20; 23/10; 23/10; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 9/4; 49/20; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-15 12:21:30 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 23/20; 5/4; 5/4; 5/4; 5/4; 23/20; 6/5; 13/10; 5/4; 5/4; 23/20; 6/5; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 7/6; 6/5; ; 5/4; 6/5; 6/5
Shrewsbury; 12/5; 21/10; 43/20; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 2; 15/8; 21/10; 11/5; 21/10; 11/5; 9/4; 11/5; 9/5; 11/5; 11/5; 26/11; 39/19; 9/4; ; 11/5; 19/10; 23/10
Draw; 9/4; 12/5; 12/5; 23/10; 23/10; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 9/4; 49/20; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; ; 12/5; 11/5; 12/5
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-15 16:22:13 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 23/20; 5/4; 6/5; 23/20; 5/4; 23/20; 6/5; 13/10; 5/4; 5/4; 23/20; 23/20; ; 23/20; 6/5; 5/4; 5/4; 15/13; 5/4; 13/10; 5/4; 15/13; 13/10; 7/6; 6/5; ; 6/5; 23/20; 6/5
Shrewsbury; 12/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; ; 9/4; 9/4; 21/10; 11/5; 9/4; 11/5; 9/5; 11/5; 9/4; 26/11; 39/19; 9/4; ; 11/5; 2; 12/5
Draw; 9/4; 12/5; 12/5; 13/5; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; ; 49/20; 23/10; 12/5; 12/5; 40/17; 23/10; 11/5; 23/10; 40/17; 12/5; 12/5; 23/10; ; 12/5; 9/4; 5/2
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-15 20:22:03 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 23/20; 23/20; 6/5; 23/20; 5/4; 23/20; 6/5; 11/10; 6/5; 5/4; 23/20; 6/5; 13/10; 23/20; 23/20; 5/4; 6/5; 15/13; 5/4; 13/10; 5/4; 15/13; 13/10; 7/6; 23/20; ; 23/20; 10/9; 6/5
