META; english/league-1/walsall-v-sheffield-utd; 2017-01-08 04:21:27 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Walsall; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-08 08:21:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Walsall; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-08 12:22:12 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 4/6; 2/3; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 14/5; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Walsall; 4; 18/5; ; ; ; ; 21/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-08 16:22:22 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 4/6; 2/3; ; ; ; ; 8/11; ; 8/11; 8/11; 7/10; ; ; ; ; 7/10; 4/6; ; ; ; 4/6; 67/100; ; ; ; ; 8/13; ; 
Draw; 14/5; 14/5; ; ; ; ; 14/5; ; 14/5; 14/5; 27/10; ; ; ; ; 14/5; 45/17; ; ; ; 45/17; 3; ; ; ; ; 5/2; ; 
