META; english/league-1/bolton-v-chesterfield; 2017-03-26 04:21:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 08:21:17 GMT+2; 2017-03-25 19:00; e70300-dr003
CA Penapolense; 5/4; 5/4; 11/8; 6/5; ; 1; 7/5; ; 13/10; 6/4; ; ; 13/10; ; ; ; 23/17; 21/20; 5/4; 23/17; ; ; 5/4; ; 5/4; ; 11/8; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-27 04:18:28 GMT+2; 2017-04-07 11:00; e70300-dr003
Krylya Sovetov Samara; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 159/100; ; ; ; ; ; ; ; 
Amkar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 43/20; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 54/25; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-27 08:18:43 GMT+2; 2017-04-08 18:00; e70300-dr003
Lyon; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/18; 1/4; 2/7; 5/19; 3/10; ; 2/7; ; 3/10; ; ; ; 
Draw; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; 75/19; 9/2; 7/2; 22/5; 5; ; 39/10; ; 4; ; ; ; 
Lorient; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; 39/4; 10; 11; 37/4; 11; ; 11; ; 11; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-27 12:07:21 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 4/11; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 2/5; 4/11; ; 9/20; 2/5; 4/11; 4/11; 1/3; 4/11; 11/25; 3/8; 6/17; ; 6/17; ; 4/11; ; 
Draw; 7/2; 7/2; 37/10; 16/5; 18/5; 10/3; 15/4; 7/2; 19/5; 15/4; 7/2; 7/2; 7/2; ; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 7/2; 37/10; ; 37/10; ; 7/2; ; 
Chesterfield; 8; 8; 15/2; 13/2; 8; 7; 8; 15/2; 7; 7; 15/2; 7; 8; ; 7; 15/2; 15/2; 8; 17/2; 15/2; 38/5; 13/2; 17/2; ; 17/2; ; 36/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-27 16:20:30 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 4/11; 4/11; 1/3; 2/5; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; ; 9/20; 4/11; 10/29; 4/11; 1/3; 10/29; 21/50; 3/8; 6/17; 4/11; 6/17; ; 4/11; ; 
Draw; 15/4; 7/2; 18/5; 16/5; 18/5; 10/3; 15/4; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; ; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 73/20; 7/2; 37/10; 7/2; 37/10; ; 7/2; ; 
Chesterfield; 17/2; 8; 15/2; 13/2; 8; 13/2; 17/2; 6; 7; 7; 15/2; 15/2; 8; ; 7; 15/2; 29/4; 8; 17/2; 29/4; 8; 13/2; 17/2; 8; 17/2; ; 38/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-27 20:20:20 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 4/11; 4/11; 1/3; 2/5; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; ; 9/20; 4/11; 6/17; 4/11; 1/3; 6/17; 21/50; 3/8; 10/29; 4/11; 10/29; ; 4/11; ; 
Draw; 15/4; 18/5; 37/10; 16/5; 18/5; 10/3; 15/4; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; ; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 73/20; 7/2; 39/10; 7/2; 39/10; ; 7/2; ; 
Chesterfield; 17/2; 15/2; 15/2; 13/2; 8; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; ; 7; 15/2; 7; 8; 15/2; 7; 8; 13/2; 15/2; 15/2; 15/2; ; 38/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-28 00:19:46 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 2/5; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 9/20; 4/11; 10/29; 4/11; 1/3; 10/29; 21/50; 3/8; 10/29; 4/11; 10/29; ; 4/11; ; 
Draw; 15/4; 18/5; 37/10; 16/5; 18/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 73/20; 7/2; 39/10; 7/2; 39/10; ; 7/2; ; 
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 10; 7; 15/2; 29/4; 8; 15/2; 29/4; 8; 13/2; 15/2; 15/2; 15/2; ; 17/2; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-28 08:19:21 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 2/5; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 9/20; 4/11; 10/29; 4/11; 1/3; 4/11; 21/50; 3/8; 10/29; 4/11; 10/29; ; 4/11; ; 
Draw; 15/4; 18/5; 37/10; 16/5; 18/5; 10/3; 15/4; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 37/10; 7/2; 7/2; 7/2; 73/20; 7/2; 39/10; 7/2; 39/10; ; 7/2; ; 
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 10; 7; 15/2; 29/4; 8; 15/2; 29/4; 8; 13/2; 15/2; 15/2; 15/2; ; 39/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-28 12:37:06 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 9/20; 4/11; 10/29; 4/11; 1/3; 10/29; 21/50; 3/8; 10/29; 4/11; 10/29; ; 4/11; ; 
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 73/20; 7/2; 39/10; 7/2; 39/10; ; 7/2; ; 
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 8; 7; 15/2; 29/4; 8; 15/2; 29/4; 8; 13/2; 15/2; 15/2; 15/2; ; 38/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-28 16:23:21 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 9/20; 4/11; 10/29; 4/11; 1/3; 10/29; 2/5; 3/8; 10/29; 4/11; 10/29; ; 2/5; 4/11; 
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 8; 7; 15/2; 29/4; 8; 8; 29/4; 8; 13/2; 8; 15/2; 8; ; 37/5; 15/2; 
META; english/league-1/bolton-v-chesterfield; 2017-03-28 20:22:11 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 2/5; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 9/20; 4/11; 10/29; 4/11; 1/3; 10/29; 2/5; 3/8; 6/17; 4/11; 6/17; ; 2/5; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 18/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 4; 37/10; 7/2; 7/2; 37/10; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 8; 7; 15/2; 29/4; 8; 15/2; 29/4; 8; 13/2; 15/2; 15/2; 15/2; ; 37/5; 15/2; 39/5
META; english/league-1/bolton-v-chesterfield; 2017-03-29 04:19:45 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 10/29; 4/11; 1/3; ; 2/5; 3/8; 6/17; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 4; 37/10; 7/2; 7/2; ; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 4
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 7; 15/2; 7; 15/2; 8; 8; 8; 15/2; 29/4; 8; 15/2; ; 8; 13/2; 15/2; 15/2; 15/2; ; 37/5; 15/2; 39/5
META; english/league-1/bolton-v-chesterfield; 2017-03-29 08:20:31 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 10/29; 4/11; 1/3; ; 2/5; 3/8; 6/17; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 4
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 7; 7; 7; 15/2; 8; 8; 8; 15/2; 29/4; 8; 15/2; ; 8; 13/2; 15/2; 15/2; 15/2; ; 37/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-29 12:21:28 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 10/29; 4/11; 1/3; ; 2/5; 3/8; 6/17; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 15/4; 7/2; 19/5; 7/2; 4; 37/10; 7/2; 7/2; ; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 8; 13/2; 8; 6; 15/2; 7; 15/2; 15/2; 8; 8; 8; 15/2; 29/4; 8; 15/2; ; 8; 13/2; 15/2; 8; 15/2; ; 37/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-29 16:19:27 GMT+3; ; e70300-dr003
Lincoln; ; 4/11; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tranmere; ; 8/11; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; ; 5/4; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham and Redbridge; ; 8; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; ; 11; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 14; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gateshead; ; 14; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; ; 18; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 50; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-29 20:18:35 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 37/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 00:19:36 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 37/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 01:46:13 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 03:46:14 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; ; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 19/5; 7/2; 4; 19/5; 7/2; 7/2; ; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; ; 8; 32/5; ; 8; 15/2; ; 39/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 04:19:44 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 15/2; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 11:46:17 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 15/2; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 38/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 12:19:48 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 15/2; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 38/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 13:46:15 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; ; 7/20; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; ; 4/11; 6/17; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; 15/4; 15/4; 7/2; ; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; ; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 8; 8; 15/2; 15/2; 15/2; 8; ; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 38/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 17:46:52 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 1/3; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 6/17; 4/11; 1/3; 6/17; 2/5; 2/5; 10/29; 4/11; 10/29; ; 4/11; 4/11; 2/5
Draw; 15/4; 18/5; 37/10; 16/5; 19/5; 10/3; 4; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 7/2; 4; 19/5; 7/2; 7/2; 19/5; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 17/2; 7; 15/2; 13/2; 17/2; 13/2; 15/2; 8; 15/2; 15/2; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 8; 15/2; ; 39/5; 38/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-30 20:21:00 GMT+3; ; e70300-dr003
Guangzhou Evergrande; ; 11/8; ; ; 11/8; ; ; ; 11/8; ; ; ; ; ; 11/8; ; ; ; 7/5; 7/5; ; 23/17; 7/5; ; 7/5; ; ; ; 
Shanghai SIPG; ; 2; ; ; 2; ; ; ; 9/4; ; ; ; ; ; 5/2; ; ; ; 5/2; 11/5; ; 19/10; 5/2; ; 5/2; ; ; ; 
Shanghai Shenhua; ; 5; ; ; 6; ; ; ; 11/2; ; ; ; ; ; 11/2; ; ; ; 6; 13/2; ; 11/2; 6; ; 6; ; ; ; 
Jiangsu Suning; ; 15/2; ; ; 8; ; ; ; 7; ; ; ; ; ; 6; ; ; ; 9; 15/2; ; 9; 9; ; 9; ; ; ; 
Beijing Guoan; ; 18; ; ; 16; ; ; ; 16; ; ; ; ; ; 14; ; ; ; 20; 28; ; 25; 20; ; 20; ; ; ; 
Guangzhou R and F; ; 28; ; ; 28; ; ; ; 25; ; ; ; ; ; 25; ; ; ; 25; 28; ; 28; 25; ; 25; ; ; ; 
Shandong Luneng; ; 33; ; ; 25; ; ; ; 33; ; ; ; ; ; 33; ; ; ; 50; 18; ; 22; 50; ; 50; ; ; ; 
Tianjin Quanjian; ; 33; ; ; 33; ; ; ; 50; ; ; ; ; ; 33; ; ; ; 50; ; ; 50; 50; ; 50; ; ; ; 
Hebei CFFC; ; 66; ; ; 33; ; ; ; 33; ; ; ; ; ; 33; ; ; ; 50; 24; ; 50; 50; ; 50; ; ; ; 
Tianjin Teda; ; 50; ; ; 40; ; ; ; 40; ; ; ; ; ; 40; ; ; ; 40; 70; ; 66; 40; ; 40; ; ; ; 
Changchun Yatai; ; 80; ; ; 66; ; ; ; 80; ; ; ; ; ; 80; ; ; ; 80; 100; ; 80; 80; ; 80; ; ; ; 
Chongqing Lifan; ; 80; ; ; 66; ; ; ; 66; ; ; ; ; ; 66; ; ; ; 100; 40; ; 100; 100; ; 100; ; ; ; 
Liaoning FC; ; 80; ; ; 100; ; ; ; 100; ; ; ; ; ; 80; ; ; ; 100; 50; ; 100; 100; ; 100; ; ; ; 
Yanbian Funde; ; 150; ; ; 100; ; ; ; 80; ; ; ; ; ; 80; ; ; ; 80; 100; ; 100; 80; ; 80; ; ; ; 
Guizhou Zhicheng; ; 200; ; ; 100; ; ; ; 100; ; ; ; ; ; 80; ; ; ; 100; 100; ; 150; 100; ; 100; ; ; ; 
Henan Jianye; ; 750; ; ; 80; ; ; ; 100; ; ; ; ; ; 150; ; ; ; 100; 80; ; 250; 100; ; 100; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-31 00:19:04 GMT+3; 2017-04-02 13:00; e70300-dr003
SC FC Voluntari SA; 6/4; ; 6/4; ; ; ; 6/4; 7/5; 7/5; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; ; 7/5; 6/4; 7/5; 23/17; 83/50; 24/17; 7/5; ; 7/5; ; 7/5; 7/5; 
Gaz Metan Medias; 2; ; 39/20; ; ; ; 19/10; 15/8; 9/5; 2; 9/5; 15/8; 19/10; 9/5; 9/5; ; 2; 19/10; 19/10; 37/19; 2; 33/19; 37/19; ; 37/19; ; 9/5; 9/5; 
Draw; 2; ; 39/20; ; ; ; 21/10; 15/8; 15/8; 21/10; 15/8; 15/8; 2; 2; 2; ; 28/13; 21/10; 21/10; 39/19; 21/10; 37/19; 28/13; ; 28/13; ; 19/10; 19/10; 
