META; english/league-1/fleetwood-v-bradford; 2017-02-11 16:25:43 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-11 20:21:19 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Bradford; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 7/5; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 9/5; 7/4; 
Draw; 23/10; 11/5; 2; 21/10; 11/5; 41/20; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 19/10; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 06:28:33 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 13/10; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 9/5; 13/8; 
Draw; 23/10; 11/5; 2; 21/10; 11/5; 2; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 19/10; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 07:45:49 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 15/8; 9/5; 
Draw; 23/10; 11/5; 2; 21/10; 11/5; 2; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 08:20:32 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 15/8; 9/5; 
Draw; 23/10; 11/5; 2; 21/10; 11/5; 2; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 09:45:52 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 2; 21/10; 11/5; 2; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 11:45:50 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 13/8; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 167/100; 19/13; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 9/5; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 37/19; 7/4; 19/10; 37/19; 46/25; 20/11; 37/19; 15/8; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 39/20; 21/10; 11/5; 2; 11/5; 2; 85/40; 2; 21/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 58/25; 28/13; 39/19; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 12:21:34 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 6/4; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 13/8; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 167/100; 19/13; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 19/10; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 37/19; 7/4; 19/10; 37/19; 46/25; 20/11; 37/19; 15/8; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 39/20; 11/5; 11/5; 2; 11/5; 2; 85/40; 2; 21/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 58/25; 28/13; 39/19; 21/10; ; 21/10; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 12:48:52 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 6/4; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 167/100; 19/13; 6/4; 8/5; ; 6/4; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 19/10; 19/10; 20/11; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 37/19; 7/4; 19/10; 37/19; 46/25; 20/11; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 39/20; 11/5; 11/5; 2; 11/5; 2; 85/40; 2; 21/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 58/25; 28/13; 39/19; 21/10; ; 21/10; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 13:45:55 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 13/8; 6/4; 8/5; 6/4; 8/5; 29/20; 31/20; 8/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 8/5; 19/13; 6/4; 8/5; ; 13/8; 6/4; 
Fleetwood; 19/10; 19/10; 39/20; 19/10; 19/10; 20/11; 19/10; 9/5; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 37/19; 7/4; 19/10; 37/19; 41/20; 20/11; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 39/20; 11/5; 11/5; 2; 11/5; 21/10; 85/40; 2; 21/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 43/20; 28/13; 39/19; 21/10; ; 2; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 15:45:56 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 8/5; 8/5; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 41/25; 16/11; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 2; 19/10; 2; 19/10; 2; 20/11; 2; 17/10; 15/8; 2; 19/10; 19/10; 21/10; 21/10; 15/8; 15/8; 37/19; 7/4; 19/10; 37/19; 103/50; 19/10; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 41/20; 11/5; 11/5; 2; 11/5; 11/5; 85/40; 2; 11/5; 21/10; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 85/40; 28/13; 39/19; 21/10; ; 2; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 16:21:39 GMT+2; 2017-02-14 19:45; e70300-dr003
