Charlton; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 13/10; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 5/4; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 39/20; 2; 11/5; 39/20; 85/40; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 9/4; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 20:23:18 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 29/20; 13/10; 13/10; 13/10; 5/4; 21/20; 13/10; 11/8; 11/8; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 15/8; 2; 11/5; 19/10; 11/5; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 00:21:56 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 21/20; 7/5; 11/8; 11/8; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 15/8; 2; 11/5; 19/10; 85/40; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 04:21:49 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 21/20; 7/5; 11/8; 11/8; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 15/8; 2; 11/5; 19/10; 85/40; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 08:21:37 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 21/20; 7/5; 13/10; 27/20; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 19/10; 2; 11/5; 19/10; 85/40; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 2; 21/10; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 12:22:12 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 21/20; 7/5; 13/10; 27/20; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; ; 
Bristol Rovers; 11/5; 2; 19/10; 2; 11/5; 19/10; 85/40; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 2; 21/10; ; 19/10; 2; 2; ; 2; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; ; 
