META; english/league-1/gillingham-v-oxford; 2016-12-31 12:22:24 GMT+2; 2017-01-02 15:00; e70300-dr003
Gillingham; 13/8; 13/8; 13/8; 13/8; 13/8; 31/20; 17/10; 13/8; 13/8; 8/5; 31/20; 13/8; 13/8; 8/5; 13/8; 8/5; 28/17; 5/3; 8/5; 13/8; 28/17; ; 6/4; 5/3; 13/8; ; 6/4; ; 
Oxford; 13/8; 13/8; 33/20; 13/8; 13/8; 31/20; 13/8; 7/5; 13/8; 13/8; 8/5; 13/8; 8/5; 13/8; 17/10; 8/5; 8/5; 17/11; 8/5; 6/4; 8/5; ; 8/5; 17/11; 13/8; ; 13/8; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 21/10; 23/10; 12/5; 11/5; 12/5; 47/20; 23/10; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; ; 23/10; 40/17; 9/4; ; 9/4; ; 
META; english/league-1/gillingham-v-oxford; 2016-12-31 16:23:22 GMT+2; 2017-01-02 15:00; e70300-dr003
Gillingham; 13/8; 13/8; 13/8; 13/8; 13/8; 31/20; 17/10; 13/8; 13/8; 8/5; 31/20; 13/8; 13/8; 8/5; 13/8; 8/5; 28/17; 5/3; 8/5; 13/8; 28/17; ; 6/4; 5/3; 13/8; ; 7/5; 6/4; 
Oxford; 13/8; 13/8; 33/20; 13/8; 13/8; 31/20; 13/8; 7/5; 13/8; 13/8; 8/5; 13/8; 8/5; 13/8; 17/10; 8/5; 8/5; 17/11; 8/5; 6/4; 8/5; ; 8/5; 17/11; 13/8; ; 6/4; 6/4; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 21/10; 23/10; 12/5; 11/5; 12/5; 47/20; 23/10; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; ; 23/10; 40/17; 9/4; ; 11/5; 2; 
META; english/league-1/gillingham-v-oxford; 2016-12-31 20:21:56 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 6/4; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 29/20; 13/8; 6/4; 6/4; 6/4; 17/11; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 9/5; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 15/8; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 23/10; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2016-12-31 21:46:29 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 6/4; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 7/5; 13/8; 6/4; 6/4; 6/4; 6/4; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 37/20; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 15/8; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2016-12-31 23:46:26 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 7/5; 13/8; 6/4; 6/4; 6/4; 6/4; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 37/20; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 7/4; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2017-01-01 00:21:54 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 7/5; 13/8; 6/4; 6/4; 6/4; 6/4; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 37/20; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 7/4; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2017-01-01 00:43:48 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 7/5; 13/8; 6/4; 6/4; 6/4; 6/4; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 37/20; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 7/4; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2017-01-01 01:46:28 GMT+2; 2017-01-02 15:00; e70300-dr003
Oxford; 6/4; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 7/5; 13/8; 6/4; 6/4; 6/4; 6/4; 7/5; 17/11; 6/4; 6/4; 7/5; 13/8; 11/8; 17/11; 6/4; ; 6/4; 7/5; 
Gillingham; 7/4; 9/5; 37/20; 15/8; 15/8; 17/10; 9/5; 13/8; 9/5; 9/5; 7/4; 13/8; 7/4; 15/8; 9/5; 9/5; 24/13; 5/3; 7/4; 13/8; 24/13; 189/100; 7/4; 5/3; 9/5; ; 7/4; 17/10; 
Draw; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; 12/5; 21/10; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 23/10; 23/10; 40/17; 47/20; 23/10; 40/17; 9/4; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-oxford; 2017-01-01 03:46:25 GMT+2; 2017-01-02 15:00; e70300-dr003
