META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-20 18:23:53 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 1; ; 11/10; ; 11/10; 21/20; 23/20; ; 21/20; 11/10; 11/10; ; 21/20; ; ; ; 21/20; ; ; 21/20; 6/5; 10/9; ; ; ; ; ; ; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 21/10; 21/10; ; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 28/11; 27/10; 5/2; ; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-23 14:26:21 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-23 18:26:36 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-23 22:24:27 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 02:25:37 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 06:23:02 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 28/13; 28/11; 23/10; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 10:24:06 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 28/13; 28/11; 23/10; 13/5; ; 12/5; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 14:24:31 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; ; 6/5; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; ; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; ; 14/5; 28/13; 28/11; 23/10; 13/5; ; 12/5; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 18:28:32 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 123/100; 10/9; 19/17; 11/10; 8/7; ; 1; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 109/50; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 28/13; 28/11; 23/10; 13/5; ; 12/5; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-24 22:26:00 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 23/20; 8/7; ; 21/20; 10/9; 23/20
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 02:28:21 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 23/20; 8/7; ; 21/20; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 06:27:50 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 10:27:34 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
