META; english/championship/leeds-v-bristol-city; 2017-02-11 14:25:11 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leeds; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/leeds-v-bristol-city; 2017-02-11 18:20:22 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leeds; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/leeds-v-bristol-city; 2017-02-11 22:23:19 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 21/20; 1; ; 10/11; 11/10; ; 11/10; ; ; 21/20; 21/20; ; 21/20; 21/20; ; 21/20; 11/10; ; ; ; ; ; ; ; ; 20/21; ; 
Leeds; 11/10; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 23/20; 21/20; 11/10; 21/20; 21/20; 11/10; 111/100; 13/12; 21/20; 11/10; ; 10/9; 10/9; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 27/11; 23/10; 12/5; ; 23/10; 23/10; 
Bristol City; 11/4; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 11/4; 13/5; 11/4; 11/4; 13/5; 11/4; 14/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 141/50; 28/11; 13/5; 13/5; ; 11/4; 11/4; 
META; english/championship/leeds-v-bristol-city; 2017-02-14 10:20:21 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 6/5; 21/20; 6/5; 11/10; 23/20; 11/10; 5/4; 1; 21/20; 6/5; 21/20; 23/20; 23/20; 23/20; 23/20; 11/10; 15/13; 21/20; 10/9; 15/13; 59/50; 15/14; 8/7; 21/20; ; 6/5; 6/5; 
Draw; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 21/10; 23/10; 11/5; 47/20; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 47/20; 27/11; 11/5; 12/5; ; 11/5; 9/4; 
Bristol City; 27/10; 11/4; 49/20; 11/4; 13/5; 14/5; 13/5; 11/4; 14/5; 5/2; 11/4; 5/2; 51/20; 14/5; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 14/5; 13/5; 5/2; 11/4; ; 13/5; 13/5; 
META; english/championship/leeds-v-bristol-city; 2017-02-14 14:20:36 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 27/25; 15/14; 24/23; 21/20; ; 11/10; 10/9; 
Draw; 12/5; 23/10; 47/20; 9/4; 23/10; 23/10; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 47/20; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 49/20; 27/11; 11/5; 12/5; ; 23/10; 23/10; 
Bristol City; 3; 13/5; 14/5; 11/4; 11/4; 14/5; 14/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 3; 11/4; 14/5; 14/5; 13/5; 14/5; 14/5; 3; 13/5; 14/5; 13/5; ; 14/5; 14/5; 
META; english/championship/leeds-v-bristol-city; 2017-02-14 18:22:14 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 11/10; 1; 21/20; 23/20; 21/20; 11/10; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 15/14; 24/23; 21/20; ; 11/10; 10/9; 
Draw; 12/5; 12/5; 47/20; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 11/5; 12/5; 23/10; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 11/5; 23/10; 49/20; 27/11; 11/5; 12/5; ; 23/10; 23/10; 
Bristol City; 29/10; 14/5; 14/5; 11/4; 11/4; 14/5; 29/10; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 29/10; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; 61/20; 13/5; 14/5; 11/4; ; 14/5; 14/5; 
META; english/championship/leeds-v-bristol-city; 2017-02-14 22:22:19 GMT+2; 2017-02-14 19:45; In Play; Xlenovo
Leeds; 1/3; 2/7; 23/20; 6/5; ; 6/5; 1/3; 3/10; ; 21/20; ; 21/20; 1/3; 23/20; ; ; ; 2/9; ; 1; ; ; ; ; ; 10/9; 4/11; 
Draw; 7/2; 15/4; 43/20; 2; ; 10/3; 18/5; 7/2; ; 10/3; ; 2; 7/2; 12/5; ; ; ; 17/4; ; 11/5; ; ; ; ; ; 11/5; 10/3; 
Bristol City; 10; 11; 11/4; 13/5; ; 10; 19/2; 9; ; 13/5; ; 5/2; 10; 14/5; ; ; ; 13; ; 27/10; ; ; ; ; ; 14/5; 46/5; 
