META; english/championship/nottingham-forest-v-brentford; 2017-03-04 22:21:24 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 7/4; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 1; ; 
Brentford ; 17/10; 6/4; 17/10; 17/10; 17/10; 5/3; 17/10; 8/5; 13/8; 13/8; 13/8; 8/5; 13/8; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 8/5; 8/5; 17/10; ; 13/8; 13/8; 
Draw; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; 23/10; ; 5/2; 5/2; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 18:21:14 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 13/8; 6/4; 31/20; 13/8; 8/5; 8/5; 31/20; 6/4; 8/5; 6/4; 8/5; 29/20; 31/20; 8/5; 8/5; 17/11; 17/11; 8/5; 8/5; 17/11; 8/5; 17/11; 8/5; 8/5; ; 6/4; 6/4; 
Brentford ; 17/10; 17/10; 7/4; 9/5; 7/4; 7/4; 9/5; 17/10; 13/8; 17/10; 17/10; 13/8; 17/10; 7/4; 13/8; 7/4; 17/10; 8/5; 8/5; 17/10; 9/5; 17/10; 8/5; 7/4; ; 17/10; 7/4; 
Draw; 13/5; 5/2; 13/5; 23/10; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 13/5; 51/20; 13/5; 5/2; 5/2; 27/11; 23/10; 12/5; 27/11; 13/5; 27/11; 12/5; 12/5; ; 5/2; 5/2; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 22:22:34 GMT+2; 2017-03-07 19:45; In Play; Xlenovo
Brentford; 4/9; 1/2; 13/8; 8/15; 6/4; 4/9; 9/20; 2/5; 13/8; 10/21; 4/9; 1/2; 9/20; 13/8; ; ; 17/11; 8/15; ; 17/11; 6/4; ; ; ; ; ; 8/15; 
Draw; 3; 3; 13/5; 16/5; 11/4; 33/10; 33/10; 11/4; 5/2; 14/5; 29/10; 11/4; 16/5; 13/5; ; ; 12/5; 27/10; ; 12/5; 133/50; ; ; ; ; ; 3; 
Nottingham Forest; 13/2; 13/2; 17/10; 5; 13/8; 5; 6; 15/2; 13/8; 11/2; 24/5; 9/2; 13/2; 7/4; ; ; 17/11; 11/2; ; 17/11; 169/100; ; ; ; ; ; 29/5; 
