META; english/championship/norwich-v-reading; 2017-04-02 06:47:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 10:49:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 14:50:10 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; ; ; ; ; 1; ; 21/20; ; ; ; ; 1; ; 1; 1; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Reading; 29/10; 14/5; 11/4; ; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 57/20; 29/10; 14/5; 14/5; 27/10; 13/5; 13/5; 27/10; ; ; 45/17; 11/4; 27/10; ; 11/4; ; 
META; english/championship/norwich-v-reading; 2017-04-05 06:20:36 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 19/20; 1; ; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 1; 1; 1; 1; ; ; 42/41; 19/20; 21/20; ; 20/21; ; 
Draw; 12/5; 5/2; 49/20; ; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 23/10; 27/11; ; ; 40/17; 12/5; 12/5; ; 12/5; ; 
Reading; 29/10; 14/5; 11/4; ; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 57/20; 29/10; 14/5; 29/10; 27/10; 13/5; 13/5; 27/10; ; ; 45/17; 11/4; 27/10; ; 11/4; ; 
META; english/championship/norwich-v-reading; 2017-04-05 10:21:58 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 19/20; 1; 1; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 21/20; 1; 1; 21/20; ; ; 42/41; 19/20; 21/20; ; 20/21; ; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 23/10; 27/11; ; ; 40/17; 12/5; 12/5; ; 12/5; ; 
Reading; 29/10; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 57/20; 29/10; 14/5; 29/10; 27/10; 13/5; 13/5; 27/10; ; ; 45/17; 11/4; 27/10; ; 11/4; ; 
META; english/championship/norwich-v-reading; 2017-04-05 14:22:17 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
