META; english/championship/blackburn-v-bristol-city; 2017-04-14 14:20:13 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 18:20:10 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 22:20:04 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; ; 13/10; ; 13/10; ; ; ; 6/5; ; 5/4; ; ; 11/8; 13/10; ; ; 13/10; 7/5; ; ; ; ; ; 10/11; ; 
Bristol City; 2; 9/5; 15/8; 2; 2; 39/20; 19/10; 2; 15/8; 9/5; 19/10; 15/8; 19/10; 2; 15/8; 2; 19/10; 2; 9/5; 24/13; 41/20; 19/10; 24/13; 15/8; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 13/5; 5/2; 5/2; 27/11; 23/10; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 27/11; ; 12/5; 12/5; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-17 10:19:41 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 7/5; 29/20; 13/10; 7/5; 29/20; 29/20; 13/10; 7/5; 7/5; 11/8; 6/4; 29/20; 29/20; 7/5; 7/5; 16/11; 13/10; 7/5; 16/11; 29/20; 22/15; 7/5; 7/5; 10/7; ; 7/5; 7/5; 11/8
Bristol City; 2; 15/8; 19/10; 2; 2; 39/20; 2; 2; 15/8; 15/8; 2; 15/8; 19/10; 2; 15/8; 2; 19/10; 2; 9/5; 19/10; 41/20; 24/13; 24/13; 2; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 12/5; 47/20; 12/5; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 12/5; 13/5; 5/2; 12/5; 40/17; 23/10; 12/5; 40/17; 5/2; 12/5; 12/5; 12/5; 27/11; ; 23/10; 23/10; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-17 14:19:43 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 8/5; 7/5; 6/4; 7/5; 31/20; 6/4; 31/20; 8/5; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4; 31/20; 6/4; 7/5; 6/4; 10/7; ; 6/4; 6/4; 11/8
Bristol City; 19/10; 7/4; 37/20; 9/5; 15/8; 37/20; 19/10; 15/8; 9/5; 9/5; 15/8; 9/5; 37/20; 19/10; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 19/10; 13/7; 24/13; 9/5; 19/10; ; 9/5; 15/8; 19/10
Draw; 12/5; 12/5; 47/20; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 47/20; 12/5; 12/5; 12/5; 40/17; 23/10; 12/5; 40/17; 5/2; 40/17; 12/5; 23/10; 27/11; ; 23/10; 23/10; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-17 18:19:46 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Bristol City; 1/3; 2/5; ; 4/9; 7/4; 4/11; 1/3; 1/3; ; 4/11; 2/5; 2/5; 2/5; 4/9; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; 4/9; 19/10
Draw; 10/3; 3; ; 14/5; 5/2; 27/10; 16/5; 3; ; 14/5; 13/5; 5/2; 29/10; 29/10; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; 12/5
Blackburn; 12; 10; ; 17/2; 6/4; 10; 12; 10; ; 9; 8; 7; 11; 8; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; 48/5; 11/8
